,2020-03-29,対前日比,うち現在は入院等,,うち退院,,うち死亡,
東京都,436,68,395,91%,36,8%,5,1%
大阪府,209,17,159,76%,48,23%,2,1%
北海道,176,4,48,27%,121,69%,7,4%
愛知県,167,3,106,63%,42,25%,19,11%
千葉県,160,34,140,88%,19,12%,1,1%
兵庫県,132,7,104,79%,18,14%,10,8%
神奈川県,107,3,82,77%,20,19%,5,5%
埼玉県,83,5,65,78%,15,18%,3,4%
京都府,46,9,33,72%,13,28%,0,0%
新潟県,31,0,24,77%,7,23%,0,0%
大分県,28,1,27,96%,1,4%,0,0%
福岡県,22,1,20,91%,2,9%,0,0%
岐阜県,21,5,20,95%,1,5%,0,0%
群馬県,18,3,17,94%,0,0%,1,6%
和歌山県,17,0,3,18%,13,76%,1,6%
茨城県,16,3,16,100%,0,0%,0,0%
高知県,14,1,2,14%,12,86%,0,0%
福井県,13,1,13,100%,0,0%,0,0%
栃木県,12,1,10,83%,2,17%,0,0%
奈良県,11,0,3,27%,8,73%,0,0%
熊本県,10,0,7,70%,3,30%,0,0%
石川県,9,0,4,44%,5,56%,0,0%
三重県,9,0,7,78%,2,22%,0,0%
沖縄県,8,2,6,75%,2,25%,0,0%
長野県,8,2,5,63%,3,38%,0,0%
青森県,7,1,7,100%,0,0%,0,0%
広島県,6,2,5,83%,1,17%,0,0%
山口県,6,0,4,67%,2,33%,0,0%
滋賀県,6,0,5,83%,1,17%,0,0%
山梨県,4,0,2,50%,2,50%,0,0%
秋田県,4,0,2,50%,2,50%,0,0%
静岡県,4,0,2,50%,2,50%,0,0%
愛媛県,4,0,2,50%,2,50%,0,0%
宮崎県,3,0,2,67%,1,33%,0,0%
岡山県,3,0,3,100%,0,0%,0,0%
宮城県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
長崎県,2,0,2,100%,0,0%,0,0%
徳島県,1,0,0,0%,1,100%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
鹿児島県,1,0,1,100%,0,0%,0,0%
総計,1820,173,1358,75%,408,22%,54,3%
