都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1277,22261,78,6,1098,101
青 森,27,1020,0,0,26,1
岩手,0,1026,0,0,0,0
宮城,98,4089,7,0,90,1
秋  田,16,1007,0,0,16,0
山形,71,2595,4,1,68,0
福島,82,7370,1,0,81,0
茨城,187,5561,14,1,163,10
栃木,87,8201,19,0,67,0
群馬,155,5375,3,0,133,19
埼玉,1282,40308,199,3,1016,67
千葉,1030,19367,85,1,899,46
東京,6973,96939,876,8,5772,325
神奈川,1605,13437,127,7,1382,96
新潟,85,5137,1,0,83,0
富山,228,4132,1,0,205,22
石川,300,2937,8,1,265,27
福井,122,3558,0,0,114,8
山梨,75,6012,0,0,74,1
長野,77,3382,1,0,76,-
岐阜,163,5519,9,2,147,7
静岡,86,8040,4,0,81,1
愛知,526,13558,7,0,480,34
三重,46,2980,0,0,45,1
滋賀,103,2566,3,0,99,1
京都,404,11133,34,0,352,18
大阪,1905,43972,77,3,1742,86
兵庫,716,15792,13,0,658,45
奈良,98,3943,6,0,90,2
和歌山,64,4077,0,0,61,3
鳥取,4,1848,1,0,3,0
島根,24,1263,0,0,24,0
岡山,28,1999,2,-,26,-
広島,171,8025,4,0,165,3
山口,37,2533,0,0,37,0
徳島,9,973,4,0,4,1
香川,28,2842,0,0,28,0
愛媛,82,2645,0,0,77,5
高知,74,1998,0,0,71,3
福岡,878,17041,31,2,814,33
佐賀,47,1677,0,0,47,0
長崎,18,3489,1,0,16,1
熊本,49,4381,0,0,46,3
大分,60,5131,0,0,59,1
宮崎,18,1624,1,0,17,0
鹿児島,110,4237,99,0,11,0
沖縄,142,3047,0,0,139,7
(その他),149,-,1,-,148,-
合計,19816,430047,1721,35,17115,979
