都道府県名,陽性者数 検査人数,,%
北海道,1277,22261,5.7%
青森,27,1020,2.6%
岩手,0,1026,0.0%
宮城,98,4089,2.4%
秋田,16,1007,1.6%
山形,71,2595,2.7%
福島,82,7370,1.1%
茨城,187,5561,3.4%
栃木,87,8201,1.1%
群馬,155,5375,2.9%
埼玉,1282,40308,3.2%
千葉,1030,19367,5.3%
東京,6973,96939,7.2%
神奈川,1605,13437,11.9%
新潟,85,5137,1.7%
富山,228,4132,5.5%
石川,300,2937,10.2%
福井,122,3558,3.4%
山梨,75,6012,1.2%
長野,77,3382,2.3%
岐阜,163,5519,3.0%
静岡,86,8040,1.1%
愛知,526,13558,3.9%
三重,46,2980,1.5%
滋賀,103,2566,4.0%
京都,404,11133,3.6%
大阪,1905,43972,4.3%
兵庫,716,15792,4.5%
奈良,98,3943,2.5%
和歌山,64,4077,1.6%
鳥取,4,1848,0.2%
島根,24,1263,1.9%
岡山,28,1999,1.4%
広島,171,8025,2.1%
山口,37,2533,1.5%
徳島,9,973,0.9%
香川,28,2842,1.0%
愛媛,82,2645,3.1%
高知,74,1998,3.7%
福岡,878,17041,5.2%
佐賀,47,1677,2.8%
長崎,18,3489,0.5%
熊本,49,4381,1.1%
大分,60,5131,1.2%
宮崎,18,1624,1.1%
鹿児島,110,4237,2.6%
沖縄,142,3047,4.7%
長崎船,149,-,-
合計,19816,430047,4.6%
