都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,14529,258606,1360,12,12573,500
青森,559,11084,87,2,464,8
岩手,417,15492,52,2,340,25
宮城,2514,25990,393,8,2104,17
秋田,167,4891,33,0,133,1
山形,422,11028,58,4,355,9
福島,1179,63665,313,8,838,28
茨城,3056,19492,639,8,2377,40
栃木,2392,79829,1103,15,1289,9
群馬,2798,58301,516,14,2233,49
埼玉,17413,350294,4812,66,12357,244
千葉,13830,245161,3830,31,9864,136
東京,73450,1083806,17226,129,55542,682
神奈川,26617,381811,4689,93,21617,311
新潟,640,29869,137,0,503,3
富山,687,23807,134,2,527,26
石川,1208,32829,183,9,993,52
福井,397,21076,46,1,338,12
山梨,676,14741,119,2,546,11
長野,1541,55758,349,7,1159,18
岐阜,2973,76359,715,14,2213,45
静岡,3201,106902,704,7,2449,48
愛知,18715,231862,2978,47,15474,263
三重,1471,32398,227,4,1223,21
滋賀,1521,41737,414,12,1091,16
京都,5518,101733,1128,15,4368,69
大阪,33920,515668,5190,168,28064,666
兵庫,11495,155347,1140,61,10096,259
奈良,2311,53820,380,11,1905,26
和歌山,748,17542,122,5,607,8
鳥取,163,27458,74,3,86,1
島根,224,9344,20,1,204,0
岡山,1775,35839,327,9,1241,15
広島,3952,86026,736,13,2880,55
山口,685,32146,124,1,554,3
徳島,226,16387,29,0,188,9
香川,414,28532,154,1,256,4
愛媛,630,15627,186,2,431,13
高知,725,6139,79,5,635,11
福岡,10736,285837,2495,19,8113,128
佐賀,579,16379,124,1,460,3
長崎,855,44502,267,10,517,7
熊本,2272,39720,221,18,1719,29
大分,821,49347,156,4,658,7
宮崎,1173,15272,445,2,728,10
鹿児島,1189,43828,214,1,975,14
沖縄,5829,94941,510,5,5240,84
(その他),149,-,0,-,149,-
合計,278762,4968222,55238,852,218676,3995
