都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1200,19481,83,8,1020,97
青   森,27,950,0,0,26,1
岩    手,0,888,0,0,0,0
宮    城,90,3534,2,0,87,1
秋  田,16,985,0,0,16,0
山    形,69,2509,1,1,68,0
福    島,82,6328,2,0,80,0
茨    城,170,5192,5,0,155,10
栃    木,66,6407,1,0,65,0
群    馬,152,4718,3,0,130,19
埼    玉,1063,32115,52,4,946,65
千    葉,933,17416,23,2,865,45
東    京,5895,71904,355,20,5215,325
神 奈 川,1438,12202,58,12,1283,94
新    潟,84,4815,2,0,81,0
富    山,227,3859,0,0,205,22
石    川,300,2879,24,2,249,27
福    井,122,3280,0,0,114,8
山    梨,72,5401,0,0,71,1
長    野,77,3166,2,0,75,-
岐    阜,156,4926,5,1,144,7
静    岡,80,7108,4,0,75,1
愛    知,523,12180,9,0,474,34
三    重,46,2798,1,0,44,1
滋    賀,101,2270,2,1,98,1
京    都,365,9722,5,0,342,18
大    阪,1809,38259,36,5,1687,86
兵    庫,703,14176,7,0,653,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3918,1,0,60,3
鳥    取,3,1461,0,0,3,0
島    根,24,1225,1,0,23,0
岡    山,26,1882,1,-,25,-
広    島,168,7683,0,0,165,3
山    口,37,2160,0,0,37,0
徳    島,5,851,0,0,4,1
香    川,28,2570,0,0,28,0
愛    媛,82,2578,3,0,75,4
高    知,74,1943,0,0,71,3
福    岡,841,15746,22,2,786,33
佐    賀,47,1603,0,0,47,0
長    崎,17,3152,0,0,16,1
熊    本,49,4203,1,0,45,3
大    分,60,4691,0,0,59,1
宮    崎,17,1536,0,0,17,0
鹿 児 島,11,2494,1,0,10,0
沖    縄,142,3003,0,0,139,7
(その他),149,-,1,-,148,-
合計,17802,365927,713,58,16116,967
