都道府県名,陽性者数 検査人数,,%
北海道,17521,321207,5.5%
青森,717,13318,5.4%
岩手,496,20053,2.5%
宮城,3410,48460,7.0%
秋田,261,6716,3.9%
山形,506,14452,3.5%
福島,1735,85948,2.0%
茨城,4846,23418,20.7%
栃木,3774,106641,3.5%
群馬,3892,75278,5.2%
埼玉,25347,454412,5.6%
千葉,22508,329992,6.8%
東京,100234,1323836,7.6%
神奈川,40985,499192,8.2%
新潟,911,36997,2.5%
富山,872,30902,2.8%
石川,1466,40672,3.6%
福井,517,26970,1.9%
山梨,901,14741,6.1%
長野,2290,83352,2.7%
岐阜,4233,104581,4.0%
静岡,4608,146187,3.2%
愛知,24022,317686,7.6%
三重,2203,46585,4.7%
滋賀,2132,56576,3.8%
京都,8447,131645,6.4%
大阪,43900,655142,6.7%
兵庫,16468,203414,8.1%
奈良,3067,68581,4.5%
和歌山,1065,21613,4.9%
鳥取,199,33955,0.6%
島根,269,12166,2.2%
岡山,2345,51686,4.5%
広島,4815,120841,4.0%
山口,1240,45815,2.7%
徳島,386,21920,1.8%
香川,657,37611,1.7%
愛媛,995,25577,3.9%
高知,851,6912,12.3%
福岡,16176,371118,4.4%
佐賀,953,23950,4.0%
長崎,1526,57116,2.7%
熊本,3343,51533,6.5%
大分,1166,63381,1.8%
宮崎,1836,23136,7.9%
鹿児島,1632,56203,2.9%
沖縄,7585,126082,6.0%
長崎船,149,0,-
合計,389457,6437569,6.0%
