都道府県名,陽性者数 検査人数,,%
北海道,11564,196775,5.9%
青森,382,8347,4.6%
岩手,315,12217,2.6%
宮城,1561,22027,7.1%
秋田,94,3865,2.4%
山形,281,9248,3.0%
福島,630,46150,1.4%
茨城,2030,18013,11.3%
栃木,915,62245,1.5%
群馬,1708,43736,3.9%
埼玉,10715,270128,4.0%
千葉,8388,193270,4.3%
東京,47990,866984,5.5%
神奈川,15397,289534,5.3%
新潟,414,24941,1.7%
富山,475,19337,2.5%
石川,922,25527,3.6%
福井,333,17048,2.0%
山梨,454,14198,3.2%
長野,991,38731,2.6%
岐阜,1544,52060,3.0%
静岡,2227,70589,3.2%
愛知,12820,162270,7.9%
三重,1086,24205,4.5%
滋賀,877,31553,2.8%
京都,3307,76611,4.3%
大阪,25420,388373,6.5%
兵庫,7403,115379,6.4%
奈良,1530,40263,3.8%
和歌山,562,15266,3.7%
鳥取,68,20394,0.3%
島根,168,7659,2.2%
岡山,702,24136,2.9%
広島,1733,48780,3.6%
山口,440,22347,2.0%
徳島,187,13978,1.3%
香川,201,19751,1.0%
愛媛,363,9778,3.7%
高知,404,4847,8.3%
福岡,6749,226346,3.0%
佐賀,390,12246,3.2%
長崎,328,30645,1.1%
熊本,1298,28528,4.5%
大分,534,34830,1.5%
宮崎,616,11354,5.4%
鹿児島,837,32430,2.6%
沖縄,4824,80078,6.0%
長崎船,149,0,-
合計,182326,3787017,4.8%
