都道府県名,陽性者数 検査人数,,%
北海道,928,8013,11.6%
青森,27,728,3.7%
岩手,0,397,0.0%
宮城,88,2183,4.0%
秋田,16,861,1.9%
山形,69,2401,2.9%
福島,81,2237,3.6%
茨城,168,3826,4.4%
栃木,54,2287,2.4%
群馬,147,2930,5.0%
埼玉,946,11394,8.3%
千葉,876,11882,7.4%
東京,4810,12990,37.0%
神奈川,1150,1947,9.6%
新潟,82,3345,2.5%
富山,216,2664,8.1%
石川,275,2175,12.6%
福井,122,1991,6.1%
山梨,56,2806,2.0%
長野,74,2054,3.6%
岐阜,150,3404,4.4%
静岡,73,3036,2.4%
愛知,491,7958,6.2%
三重,45,2093,2.2%
滋賀,97,1419,6.8%
京都,347,5267,6.6%
大阪,1716,20263,8.5%
兵庫,681,8654,7.9%
奈良,89,2035,4.4%
和歌山,62,3310,1.9%
鳥取,3,1142,0.3%
島根,24,888,2.7%
岡山,23,1321,1.7%
広島,165,5746,2.9%
山口,37,1498,2.5%
徳島,5,569,0.9%
香川,28,1787,1.6%
愛媛,48,1238,3.9%
高知,74,1529,4.8%
福岡,651,10246,6.4%
佐賀,45,1209,3.7%
長崎,17,2878,0.6%
熊本,48,3375,1.4%
大分,60,3382,1.8%
宮崎,17,1213,1.4%
鹿児島,11,1446,0.8%
沖縄,142,2403,5.9%
その他,149,623,23.9%
合計,15483,179043,8.1%
