都道府県名,陽性者数 検査人数,,%
北海道,26175,554970,4.7%
青森,1768,35303,5.0%
岩手,1076,60438,1.8%
宮城,8307,124281,6.7%
秋田,581,11000,5.3%
山形,1591,49727,3.2%
福島,3786,195784,1.9%
茨城,8526,30786,27.7%
栃木,5571,220877,2.5%
群馬,6616,144192,4.6%
埼玉,39577,784032,5.0%
千葉,34250,559168,6.1%
東京,145562,2078308,7.0%
神奈川,55401,828500,6.7%
新潟,2530,114561,2.2%
富山,1398,53430,2.6%
石川,2803,73416,3.8%
福井,945,51440,1.8%
山梨,1267,36365,3.5%
長野,4077,151970,2.7%
岐阜,6546,198417,3.3%
静岡,6768,303143,2.2%
愛知,35660,586218,6.1%
三重,4091,104528,3.9%
滋賀,4119,110062,3.7%
京都,13292,222215,6.0%
大阪,88671,1521068,5.8%
兵庫,34352,398198,8.6%
奈良,6831,131588,5.2%
和歌山,2342,35627,6.6%
鳥取,392,64022,0.6%
島根,373,21314,1.8%
岡山,4836,108427,4.5%
広島,6541,267317,2.4%
山口,2021,82172,2.5%
徳島,1463,47009,3.1%
香川,1511,64807,2.3%
愛媛,2491,67061,3.7%
高知,1117,8523,13.1%
福岡,25786,634612,4.1%
佐賀,1911,40946,4.7%
長崎,2429,95881,2.5%
熊本,4414,67745,6.5%
大分,2317,118784,2.0%
宮崎,2463,33156,7.4%
鹿児島,2512,81722,3.1%
沖縄,12992,195912,6.6%
長崎船,149,0,-
合計,630197,11769022,5.4%
