都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,26175,554970,2336,24,22660,890
青森,1768,35303,288,4,1454,26
岩手,1076,60438,214,2,828,34
宮城,8307,124281,426,8,7789,72
秋田,581,11000,123,0,449,9
山形,1591,49727,120,5,1436,35
福島,3786,195784,539,18,3120,127
茨城,8526,30786,470,14,7921,135
栃木,5571,220877,274,5,5225,72
群馬,6616,144192,694,14,5816,106
埼玉,39577,784032,2586,43,36242,749
千葉,34250,559168,1340,20,32270,640
東京,145562,2078308,7164,71,136483,1915
神奈川,55401,828500,1914,49,52656,831
新潟,2530,114561,347,2,2158,25
富山,1398,53430,137,8,1230,31
石川,2803,73416,469,12,2248,84
福井,945,51440,97,1,815,33
山梨,1267,36365,120,1,1129,19
長野,4077,151970,299,5,3760,72
岐阜,6546,198417,732,10,5676,138
静岡,6768,303143,340,6,6304,124
愛知,35660,586218,3693,41,31321,646
三重,4091,104528,550,18,3557,89
滋賀,4119,110062,559,12,3493,67
京都,13292,222215,1654,31,11491,191
大阪,88671,1521068,21147,406,64981,1696
兵庫,34352,398198,5094,95,28495,764
奈良,6831,131588,904,26,5841,86
和歌山,2342,35627,265,42,2005,34
鳥取,392,64022,36,0,343,2
島根,373,21314,30,1,343,0
岡山,4836,108427,863,20,3492,49
広島,6541,267317,536,9,5771,110
山口,2021,82172,283,6,1692,46
徳島,1463,47009,253,11,1160,50
香川,1511,64807,340,4,1154,23
愛媛,2491,67061,264,10,2173,54
高知,1117,8523,84,4,1013,20
福岡,25786,634612,3835,46,21583,368
佐賀,1911,40946,250,3,1549,14
長崎,2429,95881,456,6,1932,44
熊本,4414,67745,488,13,3844,82
大分,2317,118784,593,3,1696,28
宮崎,2463,33156,331,3,2101,23
鹿児島,2512,81722,385,2,2076,28
沖縄,12992,195912,1044,10,11816,138
(その他),149,-,0,-,149,-
合計,630197,11769022,64966,1144,552740,10819
