都道府県名,陽性者数 検査人数,,%
北海道,14133,252837,5.6%
青森,545,10878,5.0%
岩手,405,15190,2.7%
宮城,2373,25563,9.3%
秋田,161,4891,3.3%
山形,418,10866,3.8%
福島,1102,62028,1.8%
茨城,2820,19356,14.6%
栃木,2104,78537,2.7%
群馬,2635,57440,4.6%
埼玉,16399,344905,4.8%
千葉,12898,241157,5.3%
東京,68790,1059706,6.5%
神奈川,24780,376099,6.6%
新潟,611,29311,2.1%
富山,635,23562,2.7%
石川,1176,31784,3.7%
福井,380,20534,1.9%
山梨,622,14675,4.2%
長野,1433,54882,2.6%
岐阜,2785,73349,3.8%
静岡,3004,105103,2.9%
愛知,17879,231862,7.7%
三重,1429,30675,4.7%
滋賀,1424,40945,3.5%
京都,5375,100127,5.4%
大阪,32619,500835,6.5%
兵庫,10916,150200,7.3%
奈良,2211,53187,4.2%
和歌山,717,17189,4.2%
鳥取,156,26853,0.6%
島根,218,9344,2.3%
岡山,1649,35839,4.6%
広島,3740,86026,4.3%
山口,656,32146,2.0%
徳島,216,16022,1.3%
香川,369,27158,1.4%
愛媛,569,14138,4.0%
高知,712,6063,11.7%
福岡,9980,282169,3.5%
佐賀,542,15996,3.4%
長崎,855,43052,2.0%
熊本,2096,38525,5.4%
大分,791,47535,1.7%
宮崎,996,14580,6.8%
鹿児島,1157,42440,2.7%
沖縄,5677,93560,6.1%
長崎船,149,0,-
合計,263307,4869119,5.4%
