都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,14133,252837,1465,22,12228,486
青森,545,10878,101,2,436,8
岩手,405,15190,50,4,331,24
宮城,2373,25563,335,7,2022,16
秋田,161,4891,32,0,128,1
山形,418,10866,64,4,345,9
福島,1102,62028,281,8,794,27
茨城,2820,19356,457,9,2324,39
栃木,2104,78537,879,12,1225,7
群馬,2635,57440,425,13,2161,49
埼玉,16399,344905,4121,64,12041,237
千葉,12898,241157,3118,25,9649,131
東京,68790,1059706,14171,121,53952,667
神奈川,24780,376099,3813,92,20667,300
新潟,611,29311,125,1,486,3
富山,635,23562,89,2,520,26
石川,1176,31784,165,9,971,52
福井,380,20534,33,1,334,12
山梨,622,14675,88,2,523,11
長野,1433,54882,257,7,1114,18
岐阜,2785,73349,634,13,2108,43
静岡,3004,105103,573,7,2385,46
愛知,17879,231862,2601,40,15030,248
三重,1429,30675,206,4,1203,20
滋賀,1424,40945,339,9,1071,14
京都,5375,100127,1164,18,4194,66
大阪,32619,500835,4467,168,27515,637
兵庫,10916,150200,1099,54,9565,252
奈良,2211,53187,344,10,1841,26
和歌山,717,17189,106,5,592,8
鳥取,156,26853,75,3,79,0
島根,218,9344,16,1,202,0
岡山,1649,35839,292,8,1032,15
広島,3740,86026,703,14,2734,51
山口,656,32146,124,2,525,3
徳島,216,16022,20,0,187,9
香川,369,27158,116,1,250,3
愛媛,569,14138,144,3,412,13
高知,712,6063,80,5,622,10
福岡,9980,282169,1975,20,7882,123
佐賀,542,15996,97,1,450,3
長崎,855,43052,259,10,500,7
熊本,2096,38525,212,12,1650,23
大分,791,47535,151,4,634,6
宮崎,996,14580,286,2,710,9
鹿児島,1157,42440,188,1,969,14
沖縄,5677,93560,440,6,5158,84
(その他),149,-,0,-,149,-
合計,263307,4869119,46780,826,211900,3856
