都道府県名,陽性者数 検査人数,,%
北海道,42168,815860,5.2%
青森,2564,53611,4.8%
岩手,1835,90410,2.0%
宮城,9496,165253,5.7%
秋田,964,16564,5.8%
山形,2081,68627,3.0%
福島,5155,296079,1.7%
茨城,11038,34230,32.2%
栃木,7337,316076,2.3%
群馬,8124,203483,4.0%
埼玉,49077,1020328,4.8%
千葉,43076,733973,5.9%
東京,186698,2662139,7.0%
神奈川,72114,1100250,6.6%
新潟,3548,182160,1.9%
富山,2075,77808,2.7%
石川,4156,128544,3.2%
福井,1412,73970,1.9%
山梨,2176,65656,3.3%
長野,5075,216101,2.3%
岐阜,9555,282864,3.4%
静岡,9782,429699,2.3%
愛知,51879,876763,5.9%
三重,5423,152748,3.6%
滋賀,5672,160979,3.5%
京都,16966,296366,5.7%
大阪,106104,2301363,4.6%
兵庫,41540,530964,7.8%
奈良,8558,178273,4.8%
和歌山,2724,42772,6.4%
鳥取,533,87649,0.6%
島根,567,32936,1.7%
岡山,7668,174589,4.4%
広島,11625,570271,2.0%
山口,3185,126574,2.5%
徳島,1679,67963,2.5%
香川,2128,89984,2.4%
愛媛,2783,100554,2.8%
高知,1937,58792,3.3%
福岡,36247,871970,4.2%
佐賀,2590,59973,4.3%
長崎,3256,130594,2.5%
熊本,6516,82714,7.9%
大分,3520,177563,2.0%
宮崎,3118,44922,6.9%
鹿児島,3763,114627,3.3%
沖縄,21661,266892,8.1%
長崎船,149,0,-
合計,831297,16632480,5.0%
