都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,983,9690,394,18,519,70
青   森,27,784,6,0,21,0
岩    手,0,457,0,0,0,0
宮    城,88,2428,5,0,82,1
秋  田,16,899,1,0,15,0
山    形,69,2525,11,2,58,0
福    島,81,2802,23,2,58,0
茨    城,168,4145,44,2,98,9
栃    木,57,2642,18,5,39,0
群    馬,147,3188,47,1,82,18
埼    玉,977,14908,241,8,691,45
千    葉,888,11966,244,13,604,40
東    京,5027,13799,1583,54,3232,212
神 奈 川,1236,2604,366,34,808,62
新    潟,82,3605,30,0,51,0
富    山,224,2915,80,2,126,18
石    川,284,2426,105,3,159,20
福    井,122,2207,16,2,98,8
山    梨,57,3162,6,1,51,0
⾧    野,76,2285,25,2,51,-
岐    阜,150,2990,11,1,132,7
静    岡,73,3237,11,2,61,1
愛    知,501,8773,75,4,388,34
三    重,45,2219,8,0,36,1
滋    賀,97,1529,19,1,77,1
京    都,357,6032,67,1,277,13
大    阪,1765,18416,462,43,1228,63
兵    庫,697,9653,121,18,539,37
奈    良,90,2383,14,0,74,2
和 歌 山,63,3450,8,0,52,3
鳥    取,3,1213,2,0,1,0
島    根,24,957,9,1,15,0
岡    山,25,1466,4,-,21,-
広    島,165,6250,56,1,107,2
山    口,37,1585,4,1,33,0
徳    島,5,635,0,0,4,1
香    川,28,1907,2,0,26,0
愛    媛,68,1393,25,0,40,3
高    知,74,1624,5,0,66,3
福    岡,657,12119,121,10,510,25
佐    賀,46,1285,17,0,27,0
⾧    崎,17,2477,1,0,15,1
熊    本,48,3623,14,1,31,3
大    分,60,3590,3,0,55,1
宮    崎,17,1278,5,0,12,0
鹿 児 島,10,1536,3,0,7,0
沖    縄,142,2643,21,4,115,6
(その他),149,623,6,-,0,-
合計,16022,194323,4339,237,10792,710
