都道府県名,陽性者数 検査人数,,%
北海道,983,9690,10.1%
青森,27,784,3.4%
岩手,0,457,0.0%
宮城,88,2428,3.6%
秋田,16,899,1.8%
山形,69,2525,2.7%
福島,81,2802,2.9%
茨城,168,4145,4.1%
栃木,57,2642,2.2%
群馬,147,3188,4.6%
埼玉,977,14908,6.6%
千葉,888,11966,7.4%
東京,5027,13799,36.4%
神奈川,1236,2604,10.4%
新潟,82,3605,2.3%
富山,224,2915,7.7%
石川,284,2426,11.7%
福井,122,2207,5.5%
山梨,57,3162,1.8%
長野,76,2285,3.3%
岐阜,150,2990,5.0%
静岡,73,3237,2.3%
愛知,501,8773,5.7%
三重,45,2219,2.0%
滋賀,97,1529,6.3%
京都,357,6032,5.9%
大阪,1765,18416,9.6%
兵庫,697,9653,7.2%
奈良,90,2383,3.8%
和歌山,63,3450,1.8%
鳥取,3,1213,0.2%
島根,24,957,2.5%
岡山,25,1466,1.7%
広島,165,6250,2.6%
山口,37,1585,2.3%
徳島,5,635,0.8%
香川,28,1907,1.5%
愛媛,68,1393,4.9%
高知,74,1624,4.6%
福岡,657,12119,5.4%
佐賀,46,1285,3.6%
長崎,17,2477,0.7%
熊本,48,3623,1.3%
大分,60,3590,1.7%
宮崎,17,1278,1.3%
鹿児島,10,1536,0.7%
沖縄,142,2643,5.4%
その他,149,623,23.9%
合計,16022,194323,7.7%
