,2020-03-26,対前日比,うち現在は入院等,,うち退院,,うち死亡,
東京都,227,26,194,85%,28,12%,5,2%
北海道,167,1,62,37%,98,59%,7,4%
愛知県,147,3,93,63%,36,24%,19,13%
大阪府,136,7,93,68%,41,30%,2,1%
兵庫県,87,0,77,89%,5,6%,6,7%
神奈川県,82,5,60,73%,18,22%,4,5%
埼玉県,60,7,46,77%,13,22%,1,2%
千葉県,54,3,36,67%,18,33%,0,0%
京都府,29,2,21,72%,8,28%,0,0%
新潟県,24,0,21,88%,3,13%,0,0%
大分県,17,1,16,94%,1,6%,0,0%
和歌山県,15,0,4,27%,10,67%,1,7%
岐阜県,14,2,13,93%,1,7%,0,0%
群馬県,14,1,13,93%,0,0%,1,7%
福岡県,11,2,9,82%,2,18%,0,0%
高知県,11,0,0,0%,11,100%,0,0%
栃木県,10,4,8,80%,2,20%,0,0%
茨城県,9,0,9,100%,0,0%,0,0%
熊本県,7,1,5,71%,2,29%,0,0%
滋賀県,6,1,5,83%,1,17%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
三重県,6,0,4,67%,2,33%,0,0%
福井県,5,2,5,100%,0,0%,0,0%
奈良県,5,0,2,40%,3,60%,0,0%
山口県,4,1,4,100%,0,0%,0,0%
広島県,4,1,3,75%,1,25%,0,0%
沖縄県,4,0,2,50%,2,50%,0,0%
長野県,4,0,2,50%,2,50%,0,0%
山梨県,4,0,2,50%,2,50%,0,0%
青森県,4,0,4,100%,0,0%,0,0%
静岡県,3,0,1,33%,2,67%,0,0%
宮崎県,3,0,2,67%,1,33%,0,0%
宮城県,2,1,1,50%,1,50%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
鹿児島県,1,1,1,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
岡山県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
長崎県,1,0,1,100%,0,0%,0,0%
総計,1191,72,828,70%,319,27%,46,4%
