都道府県名,陽性者数 検査人数,,%
北海道,41061,759366,5.4%
青森,2453,49170,5.0%
岩手,1638,82466,2.0%
宮城,9075,154142,5.9%
秋田,785,14431,5.4%
山形,2020,64223,3.1%
福島,4791,270860,1.8%
茨城,10295,33092,31.1%
栃木,6835,279965,2.4%
群馬,8010,188946,4.2%
埼玉,45677,945473,4.8%
千葉,39332,661836,5.9%
東京,169756,2452684,6.9%
神奈川,65762,1009940,6.5%
新潟,3387,163716,2.1%
富山,2018,71217,2.8%
石川,3920,118298,3.3%
福井,1155,63597,1.8%
山梨,2005,50098,4.0%
長野,4985,197431,2.5%
岐阜,9389,263936,3.6%
静岡,9063,390754,2.3%
愛知,50479,803886,6.3%
三重,5193,137890,3.8%
滋賀,5509,146073,3.8%
京都,16478,276155,6.0%
大阪,102589,2054348,5.0%
兵庫,40732,495332,8.2%
奈良,8187,164071,5.0%
和歌山,2663,41442,6.4%
鳥取,466,81177,0.6%
島根,551,29236,1.9%
岡山,7581,158467,4.8%
広島,11412,534171,2.1%
山口,3116,116931,2.7%
徳島,1653,63404,2.6%
香川,2084,83596,2.5%
愛媛,2749,93803,2.9%
高知,1749,10972,15.9%
福岡,35274,810911,4.3%
佐賀,2546,55221,4.6%
長崎,3117,121529,2.6%
熊本,6450,81179,7.9%
大分,3486,163730,2.1%
宮崎,3069,43927,7.0%
鹿児島,3641,109604,3.3%
沖縄,20232,244208,8.3%
長崎船,149,0,-
合計,784567,15206904,5.2%
