都道府県名,陽性者数 検査人数,,%
北海道,25524,546376,4.7%
青森,1701,34498,4.9%
岩手,1039,57263,1.8%
宮城,8223,122101,6.7%
秋田,542,10911,5.0%
山形,1577,49583,3.2%
福島,3646,191573,1.9%
茨城,8410,30664,27.4%
栃木,5484,217956,2.5%
群馬,6407,139551,4.6%
埼玉,39054,771923,5.1%
千葉,33990,554311,6.1%
東京,143534,2054041,7.0%
神奈川,54869,821928,6.7%
新潟,2452,112727,2.2%
富山,1380,52737,2.6%
石川,2639,71843,3.7%
福井,921,49632,1.9%
山梨,1256,35312,3.6%
長野,3984,150440,2.6%
岐阜,6285,191825,3.3%
静岡,6661,296746,2.2%
愛知,34928,583082,6.0%
三重,3990,98154,4.1%
滋賀,3996,108814,3.7%
京都,13162,221048,6.0%
大阪,86645,1492101,5.8%
兵庫,33579,392564,8.6%
奈良,6645,130457,5.1%
和歌山,2304,35157,6.6%
鳥取,380,62922,0.6%
島根,366,21314,1.7%
岡山,4518,101721,4.4%
広島,6369,267317,2.4%
山口,1951,82172,2.4%
徳島,1430,45522,3.1%
香川,1383,63292,2.2%
愛媛,2450,62973,3.9%
高知,1106,8470,13.1%
福岡,25055,622237,4.0%
佐賀,1776,40029,4.4%
長崎,2305,94206,2.4%
熊本,4360,66663,6.5%
大分,2146,114836,1.9%
宮崎,2406,32699,7.4%
鹿児島,2403,81722,2.9%
沖縄,12817,194850,6.6%
長崎船,149,0,-
合計,618197,11588263,5.3%
