都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1282,22533,61,6,1120,101
青 森,27,1038,0,0,26,1
岩手,0,1084,0,0,0,0
宮城,99,4286,7,0,91,1
秋  田,16,1012,0,0,16,0
山形,71,2618,3,0,68,1
福島,82,7598,0,0,82,0
茨城,189,5685,14,1,165,10
栃木,90,8652,11,0,74,0
群馬,155,5602,3,0,133,19
埼玉,1352,42105,244,3,1041,67
千葉,1062,19698,110,0,906,46
東京,7272,107242,968,6,5979,325
神奈川,1653,13894,147,6,1409,97
新潟,86,5212,1,0,83,0
富山,230,4182,3,0,205,22
石川,300,2950,6,1,267,27
福井,122,3615,0,0,114,8
山梨,75,6095,0,0,74,1
長野,77,3434,1,0,76,-
岐阜,162,5647,7,2,148,7
静岡,91,8458,8,0,82,1
愛知,528,13813,8,0,481,34
三重,46,3009,0,0,45,1
滋賀,104,2626,4,0,99,1
京都,415,11482,41,0,356,18
大阪,1915,44724,79,3,1750,86
兵庫,720,16313,15,0,660,45
奈良,102,4383,10,0,90,2
和歌山,66,4106,2,0,61,3
鳥取,4,1922,1,0,3,0
島根,24,1278,0,0,24,0
岡山,28,2026,2,-,26,-
広島,171,8128,4,0,165,3
山口,37,2592,0,0,37,0
徳島,9,1053,4,0,4,1
香川,28,2919,0,0,28,0
愛媛,82,2657,0,0,77,5
高知,74,2006,0,0,71,3
福岡,898,17409,49,3,816,33
佐賀,47,1686,0,0,47,0
長崎,19,3645,2,0,16,1
熊本,49,4410,0,0,46,3
大分,60,5280,0,0,59,1
宮崎,18,1661,1,0,17,0
鹿児島,122,4841,111,0,11,0
沖縄,145,3062,2,0,139,7
(その他),149,-,0,-,149,-
合計,20353,449671,1929,31,17436,981
