都道府県名,陽性者数 検査人数,,%
北海道,3205,83712,3.8%
青森,244,5157,4.7%
,27,5339,0.5%
宮城,742,14294,5.2%
秋田,64,2503,2.6%
山形,86,6231,1.4%
福島,389,29518,1.3%
茨城,773,13982,5.5%
栃木,490,42416,1.2%
群馬,902,29473,3.1%
埼玉,5915,187511,3.2%
千葉,5079,128000,4.0%
東京,31293,604642,5.2%
神奈川,8799,203062,4.3%
新潟,184,17915,1.0%
富山,423,14541,2.9%
石川,812,17426,4.7%
福井,257,11100,2.3%
山梨,216,11769,1.8%
⾧野,344,23290,1.5%
岐阜,693,26990,2.6%
静岡,661,43590,1.5%
,6275,100228,6.3%
三重,568,15683,3.6%
滋賀,557,14505,3.8%
京都,2061,52973,3.9%
大阪,12876,237923,5.4%
,3265,69217,4.7%
奈良,664,24985,2.7%
和歌山,277,10448,2.7%
鳥取,38,5775,0.7%
島根,141,6281,2.2%
岡山,291,11198,2.6%
広島,662,27820,2.4%
山口,213,11931,1.8%
徳島,164,7495,2.2%
香川,101,13601,0.7%
愛媛,116,4392,2.6%
高知,144,3650,3.9%
,5236,165588,3.2%
佐賀,256,7117,3.6%
⾧崎,244,22786,1.1%
熊本,808,19632,4.1%
大分,159,20997,0.8%
宮崎,367,8799,4.2%
鹿児島,475,22533,2.1%
沖縄,3373,58991,5.7%
⾧崎船,149,0,-
合計,101078,2467009,4.1%
