都道府県名,陽性者数,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1377,26689,86,4,1188,103
⻘森,31,1317,4,0,26,1
岩手,0,1290,0,0,0,0
宮城,140,5534,12,0,127,1
秋田,17,1054,0,0,16,0
山形,75,2851,2,0,73,1
福島,86,9030,3,0,83,0
茨城,239,6442,25,1,204,10
栃木,151,12024,46,0,97,0
群馬,179,7310,21,2,139,19
埼玉,2035,56423,466,3,1497,72
千葉,1453,25929,318,7,1089,46
東京,10975,156867,2681,16,7966,328
神奈川,2206,16219,303,7,1805,98
新潟,92,5858,6,0,85,0
富山,235,4874,6,0,207,22
石川,310,3112,13,1,270,27
福井,127,4539,2,0,117,8
⼭梨,85,6805,8,0,76,1
⻑野,88,5565,11,0,77,-
岐阜,220,8608,52,0,161,7
静岡,119,10472,29,0,89,1
愛知,932,16828,392,2,505,35
三重,63,3571,11,0,50,1
滋賀,152,3848,46,2,105,1
京都,586,14909,146,1,422,18
大阪,2915,60635,748,12,2080,87
兵庫,941,21956,133,1,763,45
奈良,200,7978,72,1,126,2
和歌山,116,5599,27,1,86,3
鳥取,6,2283,2,0,4,0
島根,28,2181,1,0,26,0
岡山,59,2579,19,-,32,-
広島,250,10572,54,0,193,3
山口,47,3552,10,0,37,0
徳島,12,1518,5,0,6,1
香川,45,4213,14,0,31,0
愛媛,84,2799,2,0,77,5
高知,78,2179,3,0,72,3
福岡,1292,21128,357,4,902,33
佐賀,66,2108,19,0,47,0
⻑崎,47,5671,29,-,16,2
熊本,58,4607,9,0,46,3
大分,60,6001,0,0,59,1
宮崎,36,1868,6,0,18,0
⿅児島,203,9099,78,0,125,0
沖縄,186,6226,38,1,145,7
(その他),149,-,0,-,149,-
合計,28851,602720,6315,66,21514,995
