都道府県名,陽性者数 検査人数,,%
北海道,18402,347859,5.3%
青森,794,16135,4.9%
岩手,519,22189,2.3%
宮城,3490,49624,7.0%
秋田,269,6879,3.9%
山形,531,16500,3.2%
福島,1818,96660,1.9%
茨城,5315,24378,21.8%
栃木,3938,116692,3.4%
群馬,4213,83749,5.0%
埼玉,27469,499404,5.5%
千葉,24378,370038,6.6%
東京,105765,1416039,7.5%
神奈川,43051,542742,7.9%
新潟,993,39456,2.5%
富山,886,33471,2.6%
石川,1636,45181,3.6%
福井,528,28883,1.8%
山梨,919,14741,6.2%
長野,2345,90739,2.6%
岐阜,4541,117589,3.9%
静岡,4809,164992,2.9%
愛知,25016,353866,7.1%
三重,2370,56417,4.2%
滋賀,2293,63616,3.6%
京都,8846,143753,6.2%
大阪,45707,711129,6.4%
兵庫,17377,224033,7.8%
奈良,3242,75362,4.3%
和歌山,1140,23338,4.9%
鳥取,207,37391,0.6%
島根,280,13515,2.1%
岡山,2438,60138,4.1%
広島,4924,139356,3.5%
山口,1349,52858,2.6%
徳島,423,23570,1.8%
香川,716,41367,1.7%
愛媛,1029,29571,3.5%
高知,873,6995,12.5%
福岡,17176,403560,4.3%
佐賀,994,25910,3.8%
長崎,1580,62534,2.5%
熊本,3403,55559,6.1%
大分,1251,72083,1.7%
宮崎,1906,24475,7.8%
鹿児島,1705,61179,2.8%
沖縄,7960,135770,5.9%
長崎船,149,0,-
合計,410963,7041285,5.8%
