都道府県名,陽性者数 検査人数,,%
北海道,12495,218395,5.7%
青森,403,8756,4.6%
岩手,343,13209,2.6%
宮城,1831,23979,7.6%
秋田,104,3973,2.6%
山形,334,9710,3.4%
福島,782,51674,1.5%
茨城,2187,18369,11.9%
栃木,1106,67312,1.6%
群馬,2001,49380,4.1%
埼玉,12215,295862,4.1%
千葉,9466,209691,4.5%
東京,53130,934315,5.7%
神奈川,17732,326214,5.4%
新潟,457,26210,1.7%
富山,507,20661,2.5%
石川,980,27787,3.5%
福井,338,18049,1.9%
山梨,492,14369,3.4%
長野,1061,42671,2.5%
岐阜,1839,58989,3.1%
静岡,2440,85933,2.8%
愛知,14409,182125,7.9%
三重,1176,26913,4.4%
滋賀,969,34536,2.8%
京都,3910,84619,4.6%
大阪,27812,425696,6.5%
兵庫,8438,125928,6.7%
奈良,1749,44508,3.9%
和歌山,590,15944,3.7%
鳥取,74,21917,0.3%
島根,186,8556,2.2%
岡山,1159,27231,4.3%
広島,2454,62654,3.9%
山口,486,24734,2.0%
徳島,194,14474,1.3%
香川,231,21148,1.1%
愛媛,382,10895,3.5%
高知,573,5430,10.6%
福岡,7547,243185,3.1%
佐賀,424,14049,3.0%
長崎,445,35880,1.2%
熊本,1516,31757,4.8%
大分,587,38839,1.5%
宮崎,677,11916,5.7%
鹿児島,890,35196,2.5%
沖縄,5047,84891,5.9%
長崎船,149,0,-
合計,204317,4158529,4.9%
