都道府県名,陽性者数 検査人数,,%
北海道,7585,133167,5.7%
青森,282,6445,4.4%
,162,8426,1.9%
宮城,1128,18212,6.2%
秋田,83,3451,2.4%
山形,110,7344,1.5%
福島,480,38310,1.3%
茨城,1347,16138,8.3%
栃木,595,52696,1.1%
群馬,1087,34753,3.1%
埼玉,7842,225315,3.5%
千葉,6562,158518,4.1%
東京,38598,728630,5.3%
神奈川,11640,241723,4.8%
新潟,324,21588,1.5%
富山,447,16529,2.7%
石川,838,20975,4.0%
福井,305,14164,2.2%
山梨,332,13263,2.5%
長野,638,29443,2.2%
岐阜,969,32174,3.0%
静岡,1334,53923,2.5%
,9023,127454,7.1%
三重,755,18271,4.1%
滋賀,756,26058,2.9%
京都,2521,62771,4.0%
大阪,18458,304268,6.1%
,4928,88077,5.6%
奈良,1038,31252,3.3%
和歌山,408,12760,3.2%
鳥取,56,15952,0.4%
島根,143,6498,2.2%
岡山,530,17220,3.1%
広島,770,33227,2.3%
山口,363,17013,2.1%
徳島,179,7755,2.3%
香川,132,16227,0.8%
愛媛,265,5827,4.5%
高知,149,3739,4.0%
,5591,192668,2.9%
佐賀,299,9220,3.2%
長崎,263,26087,1.0%
熊本,977,23156,4.2%
大分,238,25794,0.9%
宮崎,449,9246,4.9%
鹿児島,602,26737,2.3%
沖縄,4057,68811,5.9%
長崎船,149,0,-
合計,135787,3051275,4.5%
