都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2430,67282,194,1,2129,107
青 森,57,2888,20,0,36,1
岩手,25,4796,2,0,23,0
宮城,504,11985,41,1,461,2
秋  田,59,2354,1,0,58,0
山形,81,5326,3,0,77,1
福島,332,24007,72,3,255,5
茨城,719,13121,37,4,664,18
栃木,453,34014,17,0,435,1
群馬,764,25946,34,4,710,19
埼玉,5234,160965,423,9,4709,102
千葉,4430,109745,336,12,4019,75
東京,28420,526696,1902,25,26091,427
神奈川,7758,176654,543,19,7062,153
新潟,180,16688,7,0,173,0
富山,422,13796,0,0,396,26
石川,787,15040,19,0,721,47
福井,249,10331,5,0,234,11
山梨,199,11139,3,1,190,6
長野,320,20700,4,0,315,3
岐阜,640,24739,11,1,619,10
静岡,572,38804,13,0,557,2
愛知,5596,87290,218,10,5287,91
三重,544,14421,22,0,515,7
滋賀,520,13209,16,0,496,8
京都,1898,47653,116,1,1755,27
大阪,11361,208217,450,21,10671,224
兵庫,2946,62442,122,13,2764,60
奈良,607,22972,27,2,571,9
和歌山,254,9858,12,1,235,4
鳥取,36,5543,1,0,35,0
島根,140,5980,0,0,140,0
岡山,168,8654,12,2,155,1
広島,644,24965,43,1,597,3
山口,209,10769,6,1,201,2
徳島,149,7130,0,0,140,9
香川,96,12082,3,0,91,2
愛媛,115,4215,1,0,108,6
高知,140,3565,2,0,134,4
福岡,5125,148398,73,7,4953,99
佐賀,249,6369,3,0,248,0
長崎,241,20496,2,0,234,3
熊本,726,18138,74,0,625,8
大分,158,18834,1,0,155,2
宮崎,366,8699,1,0,365,1
鹿児島,456,21218,24,0,432,12
沖縄,2826,45857,260,9,2519,51
(その他),149,-,0,-,149,-
合計,90354,2153990,5176,148,83509,1649
