都道府県名,陽性者数 検査人数,,%
北海道,37392,673385,5.6%
青森,2340,43791,5.3%
岩手,1427,73038,2.0%
宮城,8840,143558,6.2%
秋田,755,13668,5.5%
山形,1948,58114,3.4%
福島,4558,238707,1.9%
茨城,9690,32520,29.8%
栃木,6303,261232,2.4%
群馬,7794,165713,4.7%
埼玉,43588,873708,5.0%
千葉,36965,608335,6.1%
東京,160247,2271694,7.1%
神奈川,61144,918476,6.7%
新潟,3179,142314,2.2%
富山,1857,62962,2.9%
石川,3713,91363,4.1%
福井,1037,58768,1.8%
山梨,1522,41166,3.7%
長野,4768,176258,2.7%
岐阜,8691,236637,3.7%
静岡,8303,348307,2.4%
愛知,46439,691532,6.7%
三重,4873,123611,3.9%
滋賀,5037,127933,3.9%
京都,15686,253529,6.2%
大阪,99424,1808981,5.5%
兵庫,39480,454869,8.7%
奈良,7858,150366,5.2%
和歌山,2612,40060,6.5%
鳥取,463,72766,0.6%
島根,535,26359,2.0%
岡山,7292,133532,5.5%
広島,10445,400161,2.6%
山口,2902,103923,2.8%
徳島,1630,58191,2.8%
香川,1992,76837,2.6%
愛媛,2706,86132,3.1%
高知,1423,9494,15.0%
福岡,33886,743029,4.6%
佐賀,2494,49460,5.0%
長崎,2876,111187,2.6%
熊本,6182,78168,7.9%
大分,3333,144941,2.3%
宮崎,3019,40988,7.4%
鹿児島,3285,100664,3.3%
沖縄,16631,217945,7.6%
長崎船,149,0,-
合計,738713,13638372,5.4%
