都道府県名,陽性者数 検査人数,,%
北海道,2007,54736,3.7%
青森,35,2348,1.5%
岩手,23,4057,0.6%
宮城,383,9966,3.8%
秋田,53,2094,2.5%
山形,78,5094,1.5%
福島,242,19149,1.3%
茨城,632,12251,5.2%
栃木,426,29076,1.5%
群馬,696,20009,3.5%
埼玉,4522,138988,3.3%
千葉,3746,85235,4.4%
東京,24843,433070,5.7%
神奈川,6588,146306,4.5%
新潟,168,15002,1.1%
富山,410,11651,3.5%
石川,771,12314,6.3%
福井,244,9620,2.5%
山梨,180,10478,1.7%
長野,303,18446,1.6%
岐阜,611,21921,2.8%
静岡,526,32717,1.6%
愛知,5179,72538,7.1%
三重,484,12132,4.0%
滋賀,486,11394,4.3%
京都,1710,40610,4.2%
大阪,10333,176780,5.8%
兵庫,2624,54134,4.8%
奈良,560,19870,2.8%
和歌山,238,9188,2.6%
鳥取,36,5397,0.7%
島根,140,5366,2.6%
岡山,150,8110,1.8%
広島,496,20198,2.5%
山口,195,9322,2.1%
徳島,147,6835,2.2%
香川,93,10406,0.9%
愛媛,114,4037,2.8%
高知,137,3428,4.0%
福岡,5017,47045,10.7%
佐賀,244,5796,4.2%
長崎,236,17828,1.3%
熊本,572,16183,3.5%
大分,158,16202,1.0%
宮崎,344,8534,4.0%
鹿児島,400,18249,2.2%
沖縄,2389,37465,6.4%
長崎船,149,0,-
合計,80118,1731575,4.6%
