都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,16035,284681,1708,13,13866,546
青森,656,12157,94,3,554,8
岩手,475,17426,64,1,386,25
宮城,3017,44325,585,10,2411,21
秋田,219,5856,52,0,166,1
山形,447,12104,34,0,400,13
福島,1483,72466,321,8,1128,34
茨城,3941,21335,846,12,3050,45
栃木,3340,90157,1248,20,2092,23
群馬,3375,66127,552,12,2715,60
埼玉,21534,394634,6588,82,14664,282
千葉,18168,273155,6020,45,11967,181
東京,87914,1195140,20289,155,66881,744
神奈川,34879,432514,5896,112,28622,361
新潟,781,33576,148,2,633,7
富山,810,27864,124,4,659,27
石川,1356,36593,194,8,1133,55
福井,461,23196,71,4,376,13
山梨,855,14741,141,5,703,11
長野,2028,66982,415,4,1595,23
岐阜,3618,87953,625,15,2934,59
静岡,3964,124085,897,6,3002,65
愛知,21420,269490,3403,60,17687,330
三重,1822,35367,323,6,1475,24
滋賀,1798,49127,377,16,1402,19
京都,6877,114039,1525,18,5327,84
大阪,39051,571165,6355,179,31931,765
兵庫,13955,174439,1933,68,11714,308
奈良,2674,60477,379,14,2263,32
和歌山,904,19434,126,11,755,11
鳥取,179,30252,45,2,128,2
島根,237,10827,14,0,223,0
岡山,2124,35898,479,17,1434,16
広島,4424,107047,488,13,3787,72
山口,968,35818,299,2,740,5
徳島,304,18100,80,0,214,10
香川,546,32858,183,2,357,6
愛媛,849,19320,221,4,613,15
高知,791,6441,57,4,721,13
福岡,13623,323459,3900,29,9580,143
佐賀,812,19559,239,2,584,4
長崎,1263,49959,265,6,879,17
熊本,3029,47125,293,19,2176,41
大分,939,55025,136,5,792,11
宮崎,1599,20022,362,8,1230,13
鹿児島,1387,49617,211,1,1176,15
沖縄,6580,104697,747,7,5752,86
(その他),149,-,0,-,149,-
合計,337660,5596629,69352,1014,263026,4646
