都道府県名,陽性者数 検査人数,,%
北海道,1503,31704,4.7%
青森,32,1531,2.1%
岩手,5,1784,0.3%
宮城,177,6347,2.8%
秋田,18,1196,1.5%
山形,76,2946,2.6%
福島,91,10434,0.9%
茨城,356,8044,4.4%
栃木,224,15040,1.5%
群馬,208,8921,2.3%
埼玉,2688,75039,3.6%
千葉,1996,30900,6.5%
東京,14645,215559,6.8%
神奈川,2952,40667,7.3%
新潟,122,7093,1.7%
富山,266,5746,4.6%
石川,330,3368,9.8%
福井,152,5328,2.9%
山梨,114,7652,1.5%
⾧野,126,9003,1.4%
岐阜,400,11963,3.3%
静岡,342,15742,2.2%
愛知,2535,29046,8.7%
三重,179,5299,3.4%
滋賀,242,5042,4.8%
京都,903,20598,4.4%
大阪,5141,84749,6.1%
兵庫,1423,29623,4.8%
奈良,293,9920,3.0%
和歌山,173,6714,2.6%
鳥取,21,3868,0.5%
島根,29,3027,1.0%
岡山,103,3270,3.1%
広島,387,13999,2.8%
山口,64,4221,1.5%
徳島,53,2364,2.2%
香川,53,5029,1.1%
愛媛,100,3162,3.2%
高知,82,2344,3.5%
福岡,2479,28362,8.7%
佐賀,133,3036,4.4%
⾧崎,144,8429,1.7%
熊本,322,6845,4.7%
大分,76,7572,1.0%
宮崎,195,5806,3.4%
鹿児島,266,11550,2.3%
沖縄,784,11078,7.1%
⾧崎船,149,-,-
合計,43152,830960,5.2%
