都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1189,18606,108,11,988,93
青   森,27,937,0,0,26,1
岩    手,0,837,0,0,0,0
宮    城,89,3398,1,0,87,1
秋  田,16,979,0,0,16,0
山    形,69,2496,1,1,68,0
福    島,82,5961,2,0,80,0
茨    城,168,5125,3,0,155,10
栃    木,66,6007,1,0,65,0
群    馬,151,4546,2,0,130,19
埼    玉,1027,29886,21,3,941,65
千    葉,922,17021,22,2,855,45
東    京,5709,64844,318,18,5071,320
神 奈 川,1428,11826,70,10,1265,93
新    潟,84,4711,2,0,81,0
富    山,227,3787,0,0,205,22
石    川,299,2860,25,2,247,27
福    井,122,3159,0,0,114,8
山    梨,72,5175,2,0,69,1
長    野,77,3088,2,0,75,-
岐    阜,155,4638,4,2,144,7
静    岡,80,3744,5,0,74,1
愛    知,521,11750,10,0,471,34
三    重,46,2690,1,0,44,1
滋    賀,101,2172,2,1,98,1
京    都,363,9418,4,0,341,18
大    阪,1798,36938,31,6,1681,86
兵    庫,699,13745,3,0,653,43
奈    良,92,3491,0,0,90,2
和 歌 山,63,3883,0,0,60,3
鳥    取,3,1441,0,0,3,0
島    根,24,1208,1,1,23,0
岡    山,25,1860,0,-,25,-
広    島,168,7568,0,0,165,3
山    口,37,2045,1,1,36,0
徳    島,5,838,0,0,4,1
香    川,28,2467,0,0,28,0
愛    媛,82,2558,4,0,74,4
高    知,74,1917,0,0,71,3
福    岡,833,15320,29,3,776,28
佐    賀,47,1588,0,0,47,0
長    崎,17,3093,0,0,16,1
熊    本,48,4164,0,0,45,3
大    分,60,4556,0,0,59,1
宮    崎,17,1509,0,0,17,0
鹿 児 島,11,2413,1,0,10,0
沖    縄,142,2986,0,0,139,7
(その他),149,-,1,-,148,-
合計,17512,345249,677,61,15880,952
