都道府県名,陽性者数 検査人数,,%
北海道,1189,18606,6.4%
青森,27,937,2.9%
岩手,0,837,0.0%
宮城,89,3398,2.6%
秋田,16,979,1.6%
山形,69,2496,2.8%
福島,82,5961,1.4%
茨城,168,5125,3.3%
栃木,66,6007,1.1%
群馬,151,4546,3.3%
埼玉,1027,29886,3.4%
千葉,922,17021,5.4%
東京,5709,64844,8.8%
神奈川,1428,11826,12.1%
新潟,84,4711,1.8%
富山,227,3787,6.0%
石川,299,2860,10.5%
福井,122,3159,3.9%
山梨,72,5175,1.4%
長野,77,3088,2.5%
岐阜,155,4638,3.3%
静岡,80,3744,2.1%
愛知,521,11750,4.4%
三重,46,2690,1.7%
滋賀,101,2172,4.7%
京都,363,9418,3.9%
大阪,1798,36938,4.9%
兵庫,699,13745,5.1%
奈良,92,3491,2.6%
和歌山,63,3883,1.6%
鳥取,3,1441,0.2%
島根,24,1208,2.0%
岡山,25,1860,1.3%
広島,168,7568,2.2%
山口,37,2045,1.8%
徳島,5,838,0.6%
香川,28,2467,1.1%
愛媛,82,2558,3.2%
高知,74,1917,3.9%
福岡,833,15320,5.4%
佐賀,47,1588,3.0%
長崎,17,3093,0.5%
熊本,48,4164,1.2%
大分,60,4556,1.3%
宮崎,17,1509,1.1%
鹿児島,11,2413,0.5%
沖縄,142,2986,4.8%
長崎船,149,-,-
合計,17512,345249,5.1%
