都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1734,41417,132,2,1499,103
青 森,35,1958,2,0,32,1
岩手,19,2859,11,0,8,0
宮城,192,7583,4,0,186,2
秋  田,48,1720,7,0,41,0
山形,77,3091,1,1,76,1
福島,146,13844,44,1,102,0
茨城,532,10384,76,3,444,12
栃木,295,21315,21,4,273,1
群馬,426,13266,115,0,274,19
埼玉,3750,102709,604,12,3059,87
千葉,2922,52584,442,8,2419,61
東京,20096,307109,2735,31,17005,356
神奈川,4667,108862,576,21,3975,116
新潟,140,12207,11,0,129,0
富山,368,7363,74,2,279,23
石川,605,7608,145,2,427,33
福井,190,6917,35,0,147,8
山梨,172,9359,35,0,135,2
長野,200,13037,52,1,152,-
岐阜,551,17549,43,4,499,9
静岡,469,24082,59,1,409,1
愛知,4323,49574,833,16,3432,58
三重,354,9386,78,2,271,2
滋賀,428,8427,96,3,328,4
京都,1374,29424,220,2,1132,22
大阪,8233,128100,1492,58,6597,138
兵庫,2187,42080,224,16,1913,50
奈良,506,12972,98,2,403,5
和歌山,228,8459,15,0,206,4
鳥取,22,4516,2,0,20,0
島根,137,4764,57,0,132,0
岡山,143,5880,14,-,128,-
広島,453,17316,20,1,430,3
山口,141,6195,60,1,81,0
徳島,124,5214,66,0,46,4
香川,74,7665,9,0,64,1
愛媛,114,3740,7,0,101,6
高知,118,2836,18,1,97,3
福岡,4282,39106,868,16,3361,53
佐賀,229,4711,31,0,199,0
長崎,219,13500,25,1,36,3
熊本,491,10721,77,0,397,7
大分,144,11614,34,0,109,1
宮崎,330,7874,65,0,265,1
鹿児島,351,14880,51,1,287,11
沖縄,2013,23690,427,14,1564,26
(その他),149,-,0,-,149,-
合計,64801,1259467,10111,227,53318,1237
