都道府県名,陽性者数 検査人数,,%
北海道,2763,75383,3.7%
青森,175,4043,4.3%
,27,5134,0.5%
宮城,572,13206,4.3%
秋田,61,2448,2.5%
山形,84,5761,1.5%
福島,386,27446,1.4%
茨城,741,13525,5.5%
栃木,477,35148,1.4%
群馬,867,27802,3.1%
埼玉,5619,174268,3.2%
千葉,4811,119909,4.0%
東京,30033,567880,5.3%
神奈川,8369,187119,4.5%
新潟,182,17333,1.1%
富山,422,14261,3.0%
石川,799,16229,4.9%
福井,256,10775,2.4%
山梨,203,11373,1.8%
長野,330,22077,1.5%
岐阜,672,26080,2.6%
静岡,588,40885,1.4%
,5853,93722,6.2%
三重,555,15427,3.6%
滋賀,538,13730,3.9%
京都,1958,50753,3.9%
大阪,12046,224311,5.4%
,3126,66255,4.7%
奈良,625,23806,2.6%
和歌山,272,10252,2.7%
鳥取,35,5582,0.6%
島根,140,6123,2.3%
岡山,203,10217,2.0%
広島,655,26568,2.5%
山口,213,11543,1.8%
徳島,164,7410,2.2%
香川,101,12994,0.8%
愛媛,116,4293,2.7%
高知,142,3610,3.9%
,5179,158020,3.3%
佐賀,254,6917,3.7%
長崎,242,21632,1.1%
熊本,768,19032,4.0%
大分,159,20109,0.8%
宮崎,366,8741,4.2%
鹿児島,463,21698,2.1%
沖縄,3165,53366,5.9%
長崎船,149,0,-
合計,95924,2314196,4.1%
