都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,39309,706189,6431,42,31935,1179
青森,2415,46034,177,4,2208,30
岩手,1490,77111,101,0,1343,46
宮城,8964,146981,204,7,8663,83
秋田,760,13808,30,1,714,16
山形,1990,60292,105,3,1840,45
福島,4632,250222,165,8,4315,152
茨城,9891,32792,350,9,9389,152
栃木,6475,267236,274,8,6123,78
群馬,7912,177391,259,16,7511,142
埼玉,44366,896772,1416,45,42151,799
千葉,37675,625648,987,20,35999,689
東京,163329,2326889,4440,62,156786,2103
神奈川,62566,945347,1957,70,59701,908
新潟,3289,148908,234,5,3015,40
富山,1916,65994,186,8,1694,36
石川,3824,100254,270,8,3443,108
福井,1053,60120,28,0,991,34
山梨,1576,44960,88,1,1469,19
長野,4864,183346,202,5,4646,85
岐阜,9086,246442,626,23,8292,168
静岡,8587,361571,539,7,7910,138
愛知,48377,731903,4146,81,43399,832
三重,5034,129213,314,10,4746,107
滋賀,5281,134029,432,14,4767,82
京都,16056,260065,627,24,15161,219
大阪,100720,1881156,7219,283,90166,2412
兵庫,40064,468138,1190,77,37663,1214
奈良,8000,154880,251,8,7644,118
和歌山,2635,40706,51,15,2484,45
鳥取,466,74547,22,0,435,2
島根,545,27832,47,3,498,0
岡山,7464,148791,578,18,6712,110
広島,10932,508069,640,22,9732,144
山口,2991,108624,264,6,2662,65
徳島,1636,59762,22,1,1551,63
香川,2033,79279,91,6,1921,26
愛媛,2726,89403,46,4,2606,74
高知,1572,10201,195,10,1356,21
福岡,34564,766009,2918,76,31086,478
佐賀,2528,51488,99,3,2437,21
長崎,2979,114285,155,5,2756,68
熊本,6328,79507,385,19,5839,104
大分,3432,150913,212,4,3165,55
宮崎,3046,43344,73,2,2937,26
鹿児島,3482,103647,249,3,3186,30
沖縄,18316,224918,2756,85,15413,153
(その他),149,-,0,-,149,-
合計,757325,14225016,42051,1131,700609,13519
