都道府県名,陽性者数 検査人数,,%
北海道,1712,39570,4.3%
青森,33,1894,1.7%
岩手,12,2615,0.5%
宮城,192,7463,2.6%
秋田,45,1687,2.7%
山形,77,3075,2.5%
福島,128,13162,1.0%
茨城,507,10068,5.0%
栃木,289,20335,1.4%
群馬,384,12076,3.2%
埼玉,3592,98861,3.6%
千葉,2801,50562,5.5%
東京,19428,291053,6.7%
神奈川,4459,103553,4.3%
新潟,139,11807,1.2%
富山,342,7097,4.8%
石川,573,6665,8.6%
福井,164,6462,2.5%
山梨,167,9157,1.8%
長野,183,12334,1.5%
岐阜,543,16688,3.3%
静岡,446,22444,2.0%
愛知,4187,47113,8.9%
三重,342,8768,3.9%
滋賀,401,8023,5.0%
京都,1319,28036,4.7%
大阪,7901,121086,6.5%
兵庫,2129,40388,5.3%
奈良,492,12714,3.9%
和歌山,227,8328,2.7%
鳥取,22,4472,0.5%
島根,135,4622,2.9%
岡山,141,5880,2.4%
広島,451,16987,2.7%
山口,114,5786,2.0%
徳島,109,4923,2.2%
香川,71,7184,1.0%
愛媛,114,3696,3.1%
高知,109,2763,3.9%
福岡,4118,38026,10.8%
佐賀,224,4522,5.0%
長崎,204,12602,1.6%
熊本,471,10146,4.6%
大分,140,10958,1.3%
宮崎,321,7669,4.2%
鹿児島,346,14360,2.4%
沖縄,1911,22650,8.4%
長崎船,149,0,-
合計,62364,1200330,5.2%
