都道府県名,陽性者数 検査人数,,%
北海道,18674,361220,5.2%
青森,812,16995,4.8%
岩手,543,23307,2.3%
宮城,3523,49814,7.1%
秋田,269,6949,3.9%
山形,535,16960,3.2%
福島,1861,102532,1.8%
茨城,5476,24664,22.2%
栃木,4005,119101,3.4%
群馬,4338,87343,5.0%
埼玉,28309,521097,5.4%
千葉,25144,379314,6.6%
東京,108782,1464411,7.4%
神奈川,43725,561659,7.8%
新潟,1024,41328,2.5%
富山,895,34715,2.6%
石川,1743,47365,3.7%
福井,537,30156,1.8%
山梨,933,23510,4.0%
長野,2352,93982,2.5%
岐阜,4641,125346,3.7%
静岡,4927,175279,2.8%
愛知,25391,370373,6.9%
三重,2440,56417,4.3%
滋賀,2353,66308,3.5%
京都,8957,148791,6.0%
大阪,46336,741448,6.2%
兵庫,17660,233267,7.6%
奈良,3313,78089,4.2%
和歌山,1156,24080,4.8%
鳥取,207,38653,0.5%
島根,280,14340,2.0%
岡山,2460,60138,4.1%
広島,4985,147177,3.4%
山口,1366,55951,2.4%
徳島,444,24873,1.8%
香川,729,42636,1.7%
愛媛,1032,29710,3.5%
高知,884,7088,12.5%
福岡,17555,421872,4.2%
佐賀,995,26455,3.8%
長崎,1588,64616,2.5%
熊本,3429,56129,6.1%
大分,1276,75217,1.7%
宮崎,1940,24604,7.9%
鹿児島,1742,64545,2.7%
沖縄,8047,140309,5.7%
長崎船,149,0,-
合計,419762,7320133,5.7%
