都道府県名,陽性者数 検査人数,,%
北海道,28752,578371,5.0%
青森,1895,37534,5.0%
岩手,1154,63890,1.8%
宮城,8457,126945,6.7%
秋田,650,11973,5.4%
山形,1659,51384,3.2%
福島,4114,205383,2.0%
茨城,8817,31217,28.2%
栃木,5731,225762,2.5%
群馬,7037,150259,4.7%
埼玉,40837,806877,5.1%
千葉,35043,576723,6.1%
東京,150071,2128798,7.0%
神奈川,56909,856384,6.6%
新潟,2743,122383,2.2%
富山,1451,55310,2.6%
石川,3084,76895,4.0%
福井,972,54020,1.8%
山梨,1364,36365,3.8%
長野,4228,158481,2.7%
岐阜,7171,207313,3.5%
静岡,7130,317307,2.2%
愛知,38385,603931,6.4%
三重,4310,104528,4.1%
滋賀,4361,112841,3.9%
京都,14076,231375,6.1%
大阪,92794,1591395,5.8%
兵庫,36311,414476,8.8%
奈良,7208,137375,5.2%
和歌山,2442,36563,6.7%
鳥取,407,66331,0.6%
島根,401,21314,1.9%
岡山,5614,108427,5.2%
広島,7509,321772,2.3%
山口,2279,92132,2.5%
徳島,1542,49340,3.1%
香川,1712,67992,2.5%
愛媛,2587,70321,3.7%
高知,1139,8627,13.2%
福岡,28744,662287,4.3%
佐賀,2127,43681,4.9%
長崎,2649,100626,2.6%
熊本,5024,70545,7.1%
大分,2666,125684,2.1%
宮崎,2734,35688,7.7%
鹿児島,2762,90336,3.1%
沖縄,13487,200489,6.7%
長崎船,149,0,-
合計,662688,12247650,5.4%
