都道府県名,陽性者数 検査人数,,%
北海道,41596,793618,5.2%
青森,2531,51918,4.9%
岩手,1746,87769,2.0%
宮城,9222,159859,5.8%
秋田,918,16058,5.7%
山形,2030,67124,3.0%
福島,5012,287016,1.7%
茨城,10704,33776,31.7%
栃木,7173,309466,2.3%
群馬,8060,197785,4.1%
埼玉,47314,988591,4.8%
千葉,41278,706788,5.8%
東京,178356,2577996,6.9%
神奈川,68940,1063609,6.5%
新潟,3448,175819,2.0%
富山,2051,75161,2.7%
石川,3981,124978,3.2%
福井,1341,70963,1.9%
山梨,2135,58651,3.6%
長野,5049,211143,2.4%
岐阜,9476,275656,3.4%
静岡,9468,414845,2.3%
愛知,51295,848367,6.0%
三重,5296,145510,3.6%
滋賀,5588,156249,3.6%
京都,16709,288597,5.8%
大阪,104214,2204082,4.7%
兵庫,41077,516250,8.0%
奈良,8401,172997,4.9%
和歌山,2697,42299,6.4%
鳥取,494,85283,0.6%
島根,555,31436,1.8%
岡山,7603,165308,4.6%
広島,11545,561085,2.1%
山口,3163,124469,2.5%
徳島,1658,65977,2.5%
香川,2104,87464,2.4%
愛媛,2755,97176,2.8%
高知,1868,11684,16.0%
福岡,35740,847236,4.2%
佐賀,2569,58164,4.4%
長崎,3219,127564,2.5%
熊本,6494,82372,7.9%
大分,3496,172256,2.0%
宮崎,3104,44704,6.9%
鹿児島,3712,112623,3.3%
沖縄,21165,256385,8.3%
長崎船,149,0,-
合計,808499,16054126,5.0%
