都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1132,16456,135,11,906,91
青   森,27,892,0,0,26,1
岩    手,0,767,0,0,0,0
宮    城,88,3136,0,0,87,1
秋  田,16,957,0,0,16,0
山    形,69,2463,2,1,67,0
福    島,81,5232,3,0,78,0
茨    城,168,4934,3,0,155,10
栃    木,66,5141,4,0,62,0
群    馬,151,4158,6,1,126,19
埼    玉,1014,25132,34,5,929,51
千    葉,912,15813,24,4,843,45
東    京,5426,16177,330,22,4785,311
神 奈 川,1398,10918,115,17,1194,89
新    潟,83,4465,1,0,81,0
富    山,227,3542,3,0,202,22
石    川,299,2806,33,2,239,27
福    井,122,2919,1,1,113,8
山    梨,68,4577,3,0,64,1
長    野,76,2930,4,0,72,-
岐    阜,153,4065,4,1,142,7
静    岡,76,3644,2,0,73,1
愛    知,511,10961,7,0,465,34
三    重,45,2599,0,0,44,1
滋    賀,100,2003,2,1,97,1
京    都,360,8793,5,0,337,18
大    阪,1785,34037,51,14,1646,84
兵    庫,699,11716,4,3,652,43
奈    良,92,3240,1,0,89,2
和 歌 山,63,3815,0,0,60,3
鳥    取,3,1405,0,0,3,0
島    根,24,1176,1,1,23,0
岡    山,25,1790,0,-,25,-
広    島,168,7328,1,0,164,3
山    口,37,1886,1,1,36,0
徳    島,5,789,0,0,4,1
香    川,28,2344,0,0,28,0
愛    媛,82,2487,10,0,68,4
高    知,74,1863,0,0,71,3
福    岡,808,14552,131,3,650,27
佐    賀,47,1513,0,0,45,0
長    崎,17,2972,0,0,16,1
熊    本,48,4070,1,0,44,3
大    分,60,4309,0,0,59,1
宮    崎,17,1453,0,0,17,0
鹿 児 島,10,2049,0,0,10,0
沖    縄,142,2930,0,0,139,7
(その他),149,-,1,-,148,-
合計,17051,273204,923,88,15200,920
