都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1828,47213,82,2,1641,105
青 森,35,2126,2,0,32,1
岩手,23,3439,6,0,17,0
宮城,242,8308,45,0,195,2
秋  田,50,1834,3,0,47,0
山形,78,3130,2,1,76,1
福島,179,15917,46,2,133,0
茨城,583,11303,61,3,508,14
栃木,314,24277,18,3,296,1
群馬,492,15694,63,0,400,19
埼玉,4136,115297,384,10,3659,93
千葉,3225,60171,307,9,2854,64
東京,21849,355758,2306,24,19171,372
神奈川,5460,123815,587,25,4747,126
新潟,145,13350,6,1,139,0
富山,402,9947,39,1,345,25
石川,708,9509,132,2,537,39
福井,243,8887,62,5,171,8
山梨,176,9815,8,1,163,5
⾧野,290,16285,48,0,246,1
岐阜,564,18884,19,2,535,10
静岡,494,27475,28,2,465,1
愛知,4698,58530,536,15,4088,74
三重,424,10641,72,2,349,3
滋賀,464,9952,50,3,407,7
京都,1575,34050,162,3,1388,25
大阪,9088,147096,865,46,8050,166
兵庫,2354,47189,122,7,2178,54
奈良,538,15262,41,3,489,8
和歌山,234,8787,4,0,223,4
鳥取,22,4588,0,0,22,0
島根,137,5010,0,0,137,0
岡山,146,7049,4,-,141,-
広島,459,18346,9,0,447,3
山口,184,7288,55,1,129,0
徳島,145,6371,58,3,80,5
香川,84,8794,10,0,73,1
愛媛,114,3881,1,0,107,6
高知,132,3229,8,1,121,3
福岡,4817,43120,717,15,4031,69
佐賀,241,5272,7,0,234,0
⾧崎,234,15530,19,0,206,3
熊本,547,12352,58,0,474,8
大分,157,13543,18,0,137,2
宮崎,339,8190,18,0,321,1
鹿児島,371,16697,40,1,319,11
沖縄,2229,29703,311,9,1886,36
(その他),149,-,0,-,149,-
合計,71398,1442904,7439,202,62563,1376
