都道府県名,陽性者数 検査人数,,%
北海道,1828,47213,3.9%
青森,35,2126,1.6%
岩手,23,3439,0.7%
宮城,242,8308,2.9%
秋田,50,1834,2.7%
山形,78,3130,2.5%
福島,179,15917,1.1%
茨城,583,11303,5.2%
栃木,314,24277,1.3%
群馬,492,15694,3.1%
埼玉,4136,115297,3.6%
千葉,3225,60171,5.4%
東京,21849,355758,6.1%
神奈川,5460,123815,4.4%
新潟,145,13350,1.1%
富山,402,9947,4.0%
石川,708,9509,7.4%
福井,243,8887,2.7%
山梨,176,9815,1.8%
⾧野,290,16285,1.8%
岐阜,564,18884,3.0%
静岡,494,27475,1.8%
愛知,4698,58530,8.0%
三重,424,10641,4.0%
滋賀,464,9952,4.7%
京都,1575,34050,4.6%
大阪,9088,147096,6.2%
兵庫,2354,47189,5.0%
奈良,538,15262,3.5%
和歌山,234,8787,2.7%
鳥取,22,4588,0.5%
島根,137,5010,2.7%
岡山,146,7049,2.1%
広島,459,18346,2.5%
山口,184,7288,2.5%
徳島,145,6371,2.3%
香川,84,8794,1.0%
愛媛,114,3881,2.9%
高知,132,3229,4.1%
福岡,4817,43120,11.2%
佐賀,241,5272,4.6%
⾧崎,234,15530,1.5%
熊本,547,12352,4.4%
大分,157,13543,1.2%
宮崎,339,8190,4.1%
鹿児島,371,16697,2.2%
沖縄,2229,29703,7.5%
⾧崎船,149,0,-
合計,71398,1442904,4.9%
