都道府県名,陽性者数 検査人数,,%
北海道,24676,536104,4.6%
青森,1620,33457,4.8%
岩手,970,56703,1.7%
宮城,8118,120706,6.7%
秋田,492,10180,4.8%
山形,1530,47759,3.2%
福島,3464,188741,1.8%
茨城,8271,29913,27.7%
栃木,5401,216506,2.5%
群馬,6014,137279,4.4%
埼玉,38327,760912,5.0%
千葉,33486,548645,6.1%
東京,141005,2024859,7.0%
神奈川,54057,805963,6.7%
新潟,2337,109122,2.1%
富山,1350,51908,2.6%
石川,2520,71026,3.5%
福井,898,48433,1.9%
山梨,1193,35312,3.4%
長野,3919,147408,2.7%
岐阜,6035,190069,3.2%
静岡,6541,293084,2.2%
愛知,33833,557541,6.1%
三重,3863,98154,3.9%
滋賀,3818,106967,3.6%
京都,12387,213779,5.8%
大阪,83504,1452935,5.7%
兵庫,32043,384042,8.3%
奈良,6366,125853,5.1%
和歌山,2221,34484,6.4%
鳥取,374,61944,0.6%
島根,356,19437,1.8%
岡山,4136,95544,4.3%
広島,6079,261403,2.3%
山口,1889,82172,2.3%
徳島,1339,44163,3.0%
香川,1311,62603,2.1%
愛媛,2381,62334,3.8%
高知,1067,8133,13.1%
福岡,23778,610763,3.9%
佐賀,1604,38623,4.2%
長崎,2141,92645,2.3%
熊本,4210,65190,6.5%
大分,1950,112690,1.7%
宮崎,2246,30480,7.4%
鹿児島,2225,81722,2.7%
沖縄,12625,191970,6.6%
長崎船,149,0,-
合計,600119,11359660,5.3%
