都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,24676,536104,1763,23,21795,867
青森,1620,33457,279,3,1318,23
岩手,970,56703,158,2,780,32
宮城,8118,120706,424,10,7606,69
秋田,492,10180,102,0,381,9
山形,1530,47759,171,3,1326,33
福島,3464,188741,374,12,2966,124
茨城,8271,29913,548,19,7588,135
栃木,5401,216506,239,3,5091,71
群馬,6014,137279,521,4,5550,104
埼玉,38327,760912,2448,39,35134,745
千葉,33486,548645,1377,18,31485,624
東京,141005,2024859,7009,63,132098,1898
神奈川,54057,805963,1895,50,51341,821
新潟,2337,109122,361,1,1951,25
富山,1350,51908,157,7,1164,29
石川,2520,71026,327,14,2118,73
福井,898,48433,116,1,749,33
山梨,1193,35312,98,1,1076,19
長野,3919,147408,314,5,3589,68
岐阜,6035,190069,516,4,5387,132
静岡,6541,293084,348,2,6072,121
愛知,33833,557541,3251,37,29951,631
三重,3863,98154,600,12,3276,87
滋賀,3818,106967,539,10,3218,61
京都,12387,213779,1411,23,10829,186
大阪,83504,1452935,20146,425,61076,1513
兵庫,32043,384042,4838,95,26514,690
奈良,6366,125853,1025,27,5264,77
和歌山,2221,34484,306,54,1851,29
鳥取,374,61944,51,0,316,2
島根,356,19437,42,1,314,0
岡山,4136,95544,576,15,3157,40
広島,6079,261403,433,7,5478,110
山口,1889,82172,270,6,1573,46
徳島,1339,44163,330,6,965,44
香川,1311,62603,201,2,1094,22
愛媛,2381,62334,352,11,1984,45
高知,1067,8133,92,2,955,20
福岡,23778,610763,3123,34,20301,354
佐賀,1604,38623,220,2,1387,13
長崎,2141,92645,331,6,1779,41
熊本,4210,65190,477,14,3654,79
大分,1950,112690,499,2,1425,26
宮崎,2246,30480,173,0,2043,22
鹿児島,2225,81722,184,1,1999,28
沖縄,12625,191970,1141,8,11353,137
(その他),149,-,0,-,149,-
合計,600119,11359660,60156,1084,528470,10358
