都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1371,26444,87,4,1181,103
青 森,31,1317,4,0,26,1
岩手,0,1290,0,0,0,0
宮城,140,5464,16,0,123,1
秋  田,16,1054,0,0,16,0
山形,75,2845,3,0,72,1
福島,86,8913,4,0,82,0
茨城,239,6442,28,1,201,10
栃木,147,11980,46,0,97,0
群馬,177,7279,19,2,139,19
埼玉,2000,56104,486,4,1443,71
千葉,1432,25561,300,5,1086,46
東京,10680,151630,2439,16,7914,327
神奈川,2188,16219,303,7,1787,98
新潟,92,5858,6,0,85,0
富山,235,4874,6,0,207,22
石川,310,3075,13,1,270,27
福井,127,4506,4,0,115,8
山梨,85,6805,8,0,76,1
長野,87,5557,10,0,77,-
岐阜,216,8442,50,0,159,7
静岡,119,10472,29,0,89,1
愛知,869,16828,336,2,498,35
三重,61,3501,10,0,49,1
滋賀,151,3715,45,2,105,1
京都,586,14909,146,1,422,18
大阪,2915,60635,748,12,2080,87
兵庫,918,21298,128,1,745,45
奈良,195,7978,67,1,126,2
和歌山,112,5520,26,1,83,3
鳥取,5,2270,1,0,4,0
島根,26,2065,1,0,24,0
岡山,49,2539,16,-,32,-
広島,244,9665,52,0,188,3
山口,47,3511,10,0,37,0
徳島,10,1510,5,0,6,1
香川,45,4184,17,0,28,0
愛媛,84,2793,2,0,77,5
高知,78,2168,3,0,72,3
福岡,1240,20656,314,3,893,33
佐賀,63,2033,16,0,47,0
長崎,47,5599,30,-,16,1
熊本,57,4607,8,0,46,3
大分,60,5974,0,0,59,1
宮崎,27,1868,5,0,18,0
鹿児島,203,9007,78,0,125,0
沖縄,172,6226,24,1,145,7
(その他),149,-,0,-,149,-
合計,28266,593190,5949,64,21319,992
