都道府県名,陽性者数 検査人数,,%
北海道,1371,26444,5.2%
青森,31,1317,2.4%
岩手,0,1290,0.0%
宮城,140,5464,2.6%
秋田,16,1054,1.5%
山形,75,2845,2.6%
福島,86,8913,1.0%
茨城,239,6442,3.7%
栃木,147,11980,1.2%
群馬,177,7279,2.4%
埼玉,2000,56104,3.6%
千葉,1432,25561,5.6%
東京,10680,151630,7.0%
神奈川,2188,16219,13.5%
新潟,92,5858,1.6%
富山,235,4874,4.8%
石川,310,3075,10.1%
福井,127,4506,2.8%
山梨,85,6805,1.2%
長野,87,5557,1.6%
岐阜,216,8442,2.6%
静岡,119,10472,1.1%
愛知,869,16828,5.2%
三重,61,3501,1.7%
滋賀,151,3715,4.1%
京都,586,14909,3.9%
大阪,2915,60635,4.8%
兵庫,918,21298,4.3%
奈良,195,7978,2.4%
和歌山,112,5520,2.0%
鳥取,5,2270,0.2%
島根,26,2065,1.3%
岡山,49,2539,1.9%
広島,244,9665,2.5%
山口,47,3511,1.3%
徳島,10,1510,0.7%
香川,45,4184,1.1%
愛媛,84,2793,3.0%
高知,78,2168,3.6%
福岡,1240,20656,6.0%
佐賀,63,2033,3.1%
長崎,47,5599,0.8%
熊本,57,4607,1.2%
大分,60,5974,1.0%
宮崎,27,1868,1.4%
鹿児島,203,9007,2.3%
沖縄,172,6226,2.8%
長崎船,149,-,-
合計,28266,593190,4.8%
