都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,23530,515853,1396,21,21282,849
青森,1503,31979,226,0,1255,22
岩手,858,55100,82,2,745,31
宮城,7950,117404,557,13,7311,61
秋田,425,9973,64,0,352,9
山形,1467,46717,179,4,1256,32
福島,3237,182436,323,11,2791,123
茨城,7970,29367,539,18,7298,133
栃木,5281,195946,223,4,4987,71
群馬,5803,134030,327,2,5373,103
埼玉,37176,743737,2138,31,34298,740
千葉,32722,537321,1181,18,30923,618
東京,136426,1986161,5946,55,128601,1879
神奈川,52783,795181,1762,37,50209,812
新潟,2217,105306,364,2,1831,22
富山,1279,50549,149,6,1101,29
石川,2399,69393,273,14,2055,69
福井,849,46675,167,3,663,33
山梨,1148,35312,77,1,1052,19
長野,3762,145210,344,5,3405,66
岐阜,5720,184843,390,4,5199,131
静岡,6354,288664,235,2,5998,121
愛知,32118,542285,2742,24,28757,619
三重,3602,91905,558,11,3061,79
滋賀,3597,101799,468,9,3068,61
京都,12000,208276,1437,19,10415,182
大阪,77713,1367460,17689,376,57924,1390
兵庫,29535,368474,4557,93,24315,663
奈良,5899,123336,969,21,4858,72
和歌山,2076,33162,349,54,1670,25
鳥取,364,60760,69,0,288,2
島根,338,19437,41,1,297,0
岡山,3686,95544,396,11,2907,37
広島,5732,243826,265,5,5335,109
山口,1764,77872,240,1,1481,43
徳島,1203,42106,361,7,804,38
香川,1181,60431,142,4,1024,21
愛媛,2241,57959,362,13,1846,33
高知,1010,7775,51,4,940,19
福岡,22069,587902,2198,20,19523,348
佐賀,1550,37697,213,5,1341,13
長崎,2010,90196,307,1,1674,40
熊本,3999,62800,398,7,3524,77
大分,1725,108401,356,1,1345,24
宮崎,2155,29900,107,1,2018,22
鹿児島,2048,80965,96,0,1941,28
沖縄,12265,187584,1126,12,11011,134
(その他),149,-,0,-,149,-
合計,572888,10995009,52439,953,509501,10052
