都道府県名,陽性者数 検査人数,,%
北海道,23530,515853,4.6%
青森,1503,31979,4.7%
岩手,858,55100,1.6%
宮城,7950,117404,6.8%
秋田,425,9973,4.3%
山形,1467,46717,3.1%
福島,3237,182436,1.8%
茨城,7970,29367,27.1%
栃木,5281,195946,2.7%
群馬,5803,134030,4.3%
埼玉,37176,743737,5.0%
千葉,32722,537321,6.1%
東京,136426,1986161,6.9%
神奈川,52783,795181,6.6%
新潟,2217,105306,2.1%
富山,1279,50549,2.5%
石川,2399,69393,3.5%
福井,849,46675,1.8%
山梨,1148,35312,3.3%
長野,3762,145210,2.6%
岐阜,5720,184843,3.1%
静岡,6354,288664,2.2%
愛知,32118,542285,5.9%
三重,3602,91905,3.9%
滋賀,3597,101799,3.5%
京都,12000,208276,5.8%
大阪,77713,1367460,5.7%
兵庫,29535,368474,8.0%
奈良,5899,123336,4.8%
和歌山,2076,33162,6.3%
鳥取,364,60760,0.6%
島根,338,19437,1.7%
岡山,3686,95544,3.9%
広島,5732,243826,2.4%
山口,1764,77872,2.3%
徳島,1203,42106,2.9%
香川,1181,60431,2.0%
愛媛,2241,57959,3.9%
高知,1010,7775,13.0%
福岡,22069,587902,3.8%
佐賀,1550,37697,4.1%
長崎,2010,90196,2.2%
熊本,3999,62800,6.4%
大分,1725,108401,1.6%
宮崎,2155,29900,7.2%
鹿児島,2048,80965,2.5%
沖縄,12265,187584,6.5%
長崎船,149,0,-
合計,572888,10995009,5.2%
