都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2518,69832,211,2,2199,108
青 森,104,3071,67,1,36,1
岩手,26,4874,3,0,23,0
宮城,524,12291,43,1,479,2
秋  田,59,2361,1,0,58,0
山形,81,5338,2,0,78,1
福島,362,24897,84,2,272,6
茨城,728,13174,30,2,680,18
栃木,465,34469,19,0,439,1
群馬,774,26336,38,4,712,19
埼玉,5371,163381,431,9,4837,103
千葉,4530,111109,347,10,4107,76
東京,28971,535672,1958,24,26577,436
神奈川,7942,178657,570,19,7218,154
新潟,180,16849,4,0,176,0
富山,423,13903,1,0,396,26
石川,795,15397,25,0,723,47
福井,256,10331,11,0,234,11
山梨,199,11173,2,0,191,6
⾧野,326,20863,8,0,317,4
岐阜,642,24987,12,1,620,10
静岡,575,39100,15,0,558,2
愛知,5664,88963,232,9,5341,91
三重,549,14646,17,0,525,7
滋賀,524,13298,13,0,503,8
京都,1907,48126,119,1,1761,27
大阪,11514,212793,464,20,10807,227
兵庫,2995,63557,120,18,2814,61
奈良,613,23057,28,2,576,9
和歌山,255,9924,7,1,241,4
鳥取,36,5548,0,0,36,0
島根,140,6023,0,0,140,0
岡山,173,8654,12,2,155,1
広島,649,25370,39,1,606,4
山口,209,10947,2,1,205,2
徳島,158,7188,0,0,140,9
香川,99,12432,4,0,93,2
愛媛,116,4240,2,0,108,6
高知,140,3586,1,0,135,4
福岡,5139,150735,64,6,4976,99
佐賀,252,6545,5,0,249,0
⾧崎,241,20757,3,0,235,3
熊本,744,18430,66,0,660,8
大分,159,19203,2,0,155,2
宮崎,366,8703,1,0,365,1
鹿児島,463,21290,18,0,463,12
沖縄,2918,47630,274,8,2593,55
(その他),149,-,0,-,149,-
合計,92023,2189710,5375,144,84961,1673
