都道府県名,陽性者数 検査人数,,%
北海道,9852,168206,5.9%
青森,330,7261,4.5%
岩手,220,10109,2.2%
宮城,1293,19898,6.5%
秋田,90,3689,2.4%
山形,173,8120,2.1%
福島,530,41884,1.3%
茨城,1832,17334,10.6%
栃木,749,57257,1.3%
群馬,1388,39174,3.5%
埼玉,9321,250151,3.7%
千葉,7466,172106,4.3%
東京,43704,797901,5.5%
神奈川,13639,265968,5.1%
新潟,356,23178,1.5%
富山,462,17786,2.6%
石川,872,23273,3.7%
福井,321,15731,2.0%
山梨,381,13645,2.8%
⾧野,803,33056,2.4%
岐阜,1245,43971,2.8%
静岡,1827,61478,3.0%
愛知,11157,143080,7.8%
三重,950,22079,4.3%
滋賀,816,29135,2.8%
京都,2736,68469,4.0%
大阪,22507,350264,6.4%
兵庫,6320,103474,6.1%
奈良,1306,35104,3.7%
和歌山,503,14074,3.6%
鳥取,63,18057,0.3%
島根,155,7158,2.2%
岡山,657,20802,3.2%
広島,1023,35884,2.9%
山口,410,19028,2.2%
徳島,185,7925,2.3%
香川,163,18038,0.9%
愛媛,345,8520,4.0%
高知,233,4061,5.7%
福岡,6060,210854,2.9%
佐賀,337,10504,3.2%
⾧崎,273,28194,1.0%
熊本,1085,25055,4.3%
大分,397,30105,1.3%
宮崎,557,10314,5.4%
鹿児島,637,28192,2.3%
沖縄,4574,75749,6.0%
⾧崎船,149,0,-
合計,160452,3415295,4.7%
