都道府県名,陽性者数 検査人数,,%
北海道,8274,143394,5.8%
青森,287,6569,4.4%
,183,9057,2.0%
宮城,1181,18642,6.3%
秋田,90,3500,2.6%
山形,122,7425,1.6%
福島,496,39392,1.3%
茨城,1508,16407,9.2%
栃木,619,53084,1.2%
群馬,1177,35486,3.3%
埼玉,8222,230760,3.6%
千葉,6864,161405,4.3%
東京,40210,750084,5.4%
神奈川,12327,249352,4.9%
新潟,329,22133,1.5%
富山,457,16966,2.7%
石川,846,21792,3.9%
福井,314,14585,2.2%
山梨,336,13459,2.5%
⾧野,691,30587,2.3%
岐阜,1034,33315,3.1%
静岡,1447,55546,2.6%
,9632,135512,7.1%
三重,826,19848,4.2%
滋賀,777,27370,2.8%
京都,2585,64192,4.0%
大阪,19630,317766,6.2%
,5314,93326,5.7%
奈良,1106,31912,3.5%
和歌山,436,13187,3.3%
鳥取,58,16327,0.4%
島根,146,6772,2.2%
岡山,583,19205,3.0%
広島,785,34211,2.3%
山口,381,17013,2.2%
徳島,181,7809,2.3%
香川,138,16739,0.8%
愛媛,304,6862,4.4%
高知,149,3752,4.0%
,5758,199025,2.9%
佐賀,307,9571,3.2%
⾧崎,265,26776,1.0%
熊本,1006,23727,4.2%
大分,273,27113,1.0%
宮崎,477,9431,5.1%
鹿児島,612,27152,2.3%
沖縄,4247,72029,5.9%
⾧崎船,149,0,-
合計,143139,3159567,4.5%
