都道府県名,陽性者数,検査人数,備考
北海道,182,2096,
青森県,8,137,
岩手県,0,59,
宮城県,7,208,3/30時点
秋田県,6,261,
山形県,1,222,
福島県,6,204,
茨城県,24,1028,
栃木県,14,456,
群馬県,20,289,
埼玉県,101,1293,
千葉県,175,527,
東京都,593,3027,
神奈川県,138,614,
新潟県,31,1061,
富山県,5,90,
石川県,15,228,
福井県,22,179,
山梨県,8,472,
長野県,9,506,
岐阜県,22,717,
静岡県,6,745,
愛知県,181,2854,
三重県,11,458,
滋賀県,8,232,
京都府,71,1178,
大阪府,279,630,
兵庫県,161,2462,
奈良県,15,314,
和歌山県,18,1479,
鳥取県,0,182,
島根県,0,136,
岡山県,4,321,
広島県,6,960,
山口県,6,287,
徳島県,3,144,
香川県,2,243,3/30時点
愛媛県,9,267,
高知県,20,389,
福岡県,52,1069,
佐賀県,4,150,
長崎県,5,351,
熊本県,15,925,
大分県,29,1647,
宮崎県,3,284,
鹿児島県,2,265,
沖縄県,9,356,
合計,2306,32002,
