都道府県名,陽性者数 検査人数,,%
北海道,1876,49898,3.8%
青森,35,2217,1.6%
岩手,23,3727,0.6%
宮城,310,8955,3.5%
秋田,51,1862,2.7%
山形,78,4895,1.6%
福島,211,17156,1.2%
茨城,614,11777,5.2%
栃木,359,25830,1.4%
群馬,553,17456,3.2%
埼玉,4302,124854,3.4%
千葉,3416,68010,5.0%
東京,23083,386979,6.0%
神奈川,5960,131185,4.5%
新潟,149,13917,1.1%
富山,408,10945,3.7%
石川,731,10793,6.8%
福井,244,9242,2.6%
山梨,179,10072,1.8%
長野,296,17264,1.7%
岐阜,594,20034,3.0%
静岡,504,30159,1.7%
愛知,4897,62807,7.8%
三重,460,11265,4.1%
滋賀,471,10706,4.4%
京都,1624,36630,4.4%
大阪,9636,159267,6.1%
兵庫,2470,49817,5.0%
奈良,546,18481,3.0%
和歌山,236,8918,2.6%
鳥取,32,4683,0.7%
島根,137,5215,2.6%
岡山,147,7511,2.0%
広島,468,18987,2.5%
山口,194,8252,2.4%
徳島,147,6636,2.2%
香川,89,9497,0.9%
愛媛,114,3938,2.9%
高知,137,3319,4.1%
福岡,4948,44991,11.0%
佐賀,244,5532,4.4%
長崎,236,16492,1.4%
熊本,569,13039,4.4%
大分,158,14529,1.1%
宮崎,342,8331,4.1%
鹿児島,372,17221,2.2%
沖縄,2294,32570,7.0%
長崎船,149,0,-
合計,75093,1555861,4.8%
