都道府県名,陽性者数,検査人数,備考
北海道,177,2096,
青森県,8,137,
岩手県,0,59,
宮城県,7,208,3/30時点
秋田県,6,261,
山形県,1,222,
福島県,4,204,
茨城県,24,1028,
栃木県,14,456,
群馬県,19,289,
埼玉県,98,1293,
千葉県,164,527,
東京都,527,3027,
神奈川県,120,614,
新潟県,31,1061,
富山県,3,90,
石川県,13,228,
福井県,16,179,
山梨県,6,472,
長野県,8,506,
岐阜県,23,717,
静岡県,6,745,
愛知県,176,2854,
三重県,11,458,
滋賀県,7,232,
京都府,68,1178,
大阪府,245,630,
兵庫県,147,2462,
奈良県,11,314,
和歌山県,17,1479,
鳥取県,0,182,
島根県,0,136,
岡山県,4,321,
広島県,6,960,
山口県,6,287,
徳島県,3,144,
香川県,2,243,3/30時点
愛媛県,9,267,
高知県,17,389,
福岡県,43,1069,
佐賀県,2,150,
長崎県,2,351,
熊本県,14,925,
大分県,29,1647,
宮崎県,3,284,
鹿児島県,1,265,
沖縄県,9,356,
合計,2107,32002,
