都道府県名,陽性者数 検査人数,,%
北海道,1195,19059,6.3%
青森,27,941,2.9%
岩手,0,837,0.0%
宮城,89,3474,2.6%
秋田,16,979,1.6%
山形,69,2503,2.8%
福島,82,6091,1.3%
茨城,170,5125,3.3%
栃木,66,6231,1.1%
群馬,151,4617,3.3%
埼玉,1038,29958,3.5%
千葉,924,17230,5.4%
東京,5783,65496,8.8%
神奈川,1428,11826,12.1%
新潟,84,4711,1.8%
富山,227,3787,6.0%
石川,299,2869,10.4%
福井,122,3211,3.8%
山梨,72,5175,1.4%
長野,77,3127,2.5%
岐阜,156,4749,3.3%
静岡,80,6928,1.2%
愛知,521,11750,4.4%
三重,46,2777,1.7%
滋賀,101,2214,4.6%
京都,363,9418,3.9%
大阪,1806,37550,4.8%
兵庫,700,13915,5.0%
奈良,92,3491,2.6%
和歌山,63,3897,1.6%
鳥取,3,1448,0.2%
島根,24,1211,2.0%
岡山,25,1863,1.3%
広島,168,7568,2.2%
山口,37,2055,1.8%
徳島,5,845,0.6%
香川,28,2513,1.1%
愛媛,82,2558,3.2%
高知,74,1926,3.8%
福岡,838,15522,5.4%
佐賀,47,1592,3.0%
長崎,17,3110,0.5%
熊本,48,4164,1.2%
大分,60,4592,1.3%
宮崎,17,1509,1.1%
鹿児島,11,2452,0.4%
沖縄,142,2986,4.8%
長崎船,149,-,-
合計,17622,351850,5.0%
