都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1326,24768,75,5,1149,102
青 森,30,1201,4,0,25,1
岩手,0,1224,0,0,0,0
宮城,129,5001,28,0,100,1
秋  田,16,1032,3,0,16,0
山形,75,2803,4,0,71,1
福島,84,8456,2,0,82,0
茨城,220,6066,20,2,190,10
栃木,118,10552,30,0,90,0
群馬,167,6701,12,1,136,19
埼玉,1668,50480,409,4,1192,67
千葉,1276,23084,235,2,995,46
東京,9223,137338,1894,10,7003,326
神奈川,1968,15233,262,9,1608,98
新潟,89,5578,5,0,83,0
富山,231,4533,3,0,206,22
石川,303,3002,7,1,269,27
福井,126,3897,4,0,114,8
山梨,77,6427,2,0,74,1
長野,84,5055,7,0,76,-
岐阜,173,6721,15,0,151,7
静岡,104,9608,19,0,84,1
愛知,588,15158,68,0,486,34
三重,55,3236,7,0,46,1
滋賀,109,3285,5,1,103,1
京都,490,13461,77,0,395,18
大阪,2245,51997,286,4,1873,86
兵庫,801,18644,66,0,690,45
奈良,151,5045,46,0,103,2
和歌山,89,4929,16,1,70,3
鳥取,5,2210,2,0,3,0
島根,25,1848,1,0,24,0
岡山,36,2286,8,-,28,-
広島,205,8806,35,0,170,3
山口,42,3133,5,0,37,0
徳島,10,1347,5,0,4,1
香川,42,3418,14,0,28,0
愛媛,82,2707,0,0,77,5
高知,76,2116,2,0,71,3
福岡,972,18945,85,3,854,33
佐賀,47,1774,0,0,47,0
長崎,32,4692,15,0,16,1
熊本,50,4527,1,0,46,3
大分,60,5675,0,0,59,1
宮崎,20,1770,2,0,18,0
鹿児島,164,8267,75,0,89,0
沖縄,149,3457,4,0,142,7
(その他),149,-,0,-,149,-
合計,24181,531493,3865,43,19342,984
