都道府県名,陽性者数 検査人数,,%
北海道,1326,24768,5.4%
青森,30,1201,2.5%
岩手,0,1224,0.0%
宮城,129,5001,2.6%
秋田,16,1032,1.6%
山形,75,2803,2.7%
福島,84,8456,1.0%
茨城,220,6066,3.6%
栃木,118,10552,1.1%
群馬,167,6701,2.5%
埼玉,1668,50480,3.3%
千葉,1276,23084,5.5%
東京,9223,137338,6.7%
神奈川,1968,15233,12.9%
新潟,89,5578,1.6%
富山,231,4533,5.1%
石川,303,3002,10.1%
福井,126,3897,3.2%
山梨,77,6427,1.2%
長野,84,5055,1.7%
岐阜,173,6721,2.6%
静岡,104,9608,1.1%
愛知,588,15158,3.9%
三重,55,3236,1.7%
滋賀,109,3285,3.3%
京都,490,13461,3.6%
大阪,2245,51997,4.3%
兵庫,801,18644,4.3%
奈良,151,5045,3.0%
和歌山,89,4929,1.8%
鳥取,5,2210,0.2%
島根,25,1848,1.4%
岡山,36,2286,1.6%
広島,205,8806,2.3%
山口,42,3133,1.3%
徳島,10,1347,0.7%
香川,42,3418,1.2%
愛媛,82,2707,3.0%
高知,76,2116,3.6%
福岡,972,18945,5.1%
佐賀,47,1774,2.6%
長崎,32,4692,0.7%
熊本,50,4527,1.1%
大分,60,5675,1.1%
宮崎,20,1770,1.1%
鹿児島,164,8267,2.0%
沖縄,149,3457,4.3%
長崎船,149,-,-
合計,24181,531493,4.5%
