都道府県名,陽性者数 検査人数,,%
北海道,1489,31006,4.8%
青森,32,1503,2.1%
岩手,4,1729,0.2%
宮城,176,6262,2.8%
秋田,18,1189,1.5%
山形,76,2941,2.6%
福島,91,10434,0.9%
茨城,344,7763,4.4%
栃木,207,14660,1.4%
群馬,202,8754,2.3%
埼玉,2623,73486,3.6%
千葉,1920,30220,6.4%
東京,14285,210202,6.8%
神奈川,2833,38641,7.3%
新潟,120,6936,1.7%
富山,261,5713,4.6%
石川,324,3349,9.7%
福井,149,5205,2.9%
山梨,109,7568,1.4%
長野,125,8679,1.4%
岐阜,400,11963,3.3%
静岡,328,15096,2.2%
愛知,2388,27736,8.6%
三重,155,5082,3.0%
滋賀,236,4841,4.9%
京都,876,20163,4.3%
大阪,4916,82268,6.0%
兵庫,1371,28848,4.8%
奈良,286,9920,2.9%
和歌山,173,6619,2.6%
鳥取,19,3817,0.5%
島根,29,3014,1.0%
岡山,101,3226,3.1%
広島,376,13587,2.8%
山口,60,4166,1.4%
徳島,43,2300,1.9%
香川,46,4941,0.9%
愛媛,100,3150,3.2%
高知,82,2328,3.5%
福岡,2269,26900,8.4%
佐賀,121,2822,4.3%
長崎,140,8143,1.7%
熊本,322,6845,4.7%
大分,74,7443,1.0%
宮崎,187,5633,3.3%
鹿児島,262,11306,2.3%
沖縄,714,10548,6.8%
長崎船,149,-,-
合計,41611,808945,5.1%
