都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2091,57010,136,0,1848,107
青 森,36,2435,1,0,34,1
岩手,23,4220,0,0,23,0
宮城,399,10302,38,1,359,2
秋  田,53,2140,0,0,53,0
山形,78,5164,2,1,76,1
福島,253,20207,37,3,213,3
茨城,657,12474,37,4,603,17
栃木,431,30351,47,1,382,1
群馬,701,21170,53,2,627,19
埼玉,4652,143932,264,7,4286,102
千葉,3896,88135,271,9,3554,71
東京,25738,455929,2183,21,23147,408
神奈川,6898,153017,494,20,6266,138
新潟,170,15405,9,0,161,0
富山,418,12250,9,1,383,26
石川,776,13003,43,0,686,47
福井,244,9765,2,1,229,11
山梨,186,10658,8,2,172,6
長野,306,18932,5,0,306,1
岐阜,626,22761,31,2,585,10
静岡,538,34354,20,1,516,2
愛知,5337,76727,350,17,4903,84
三重,503,12619,83,3,413,7
滋賀,502,11903,28,0,466,8
京都,1747,42536,59,3,1663,25
大阪,10593,184635,526,27,9853,206
兵庫,2704,56262,101,8,2544,59
奈良,569,20591,15,0,545,9
和歌山,242,9284,6,0,229,4
鳥取,36,5472,5,0,31,0
島根,140,5767,3,0,137,0
岡山,157,8110,1,-,147,-
広島,563,20858,76,2,470,3
山口,202,9786,9,1,191,2
徳島,148,6908,9,0,126,9
香川,93,10671,3,0,88,2
愛媛,114,4075,0,0,108,6
高知,138,3475,1,0,133,4
福岡,5032,131947,93,9,4842,97
佐賀,245,6005,1,0,246,0
長崎,236,18408,1,0,231,3
熊本,574,16403,7,0,559,8
大分,158,16873,3,0,153,2
宮崎,344,8582,1,0,343,1
鹿児島,415,18986,34,0,378,12
沖縄,2486,39038,193,5,2251,46
(その他),149,-,0,-,149,-
合計,82597,1889535,5298,151,75708,1570
