都道府県名,陽性者数 検査人数,,%
北海道,38830,696174,5.6%
青森,2393,45518,5.3%
岩手,1472,75364,2.0%
宮城,8919,146010,6.1%
秋田,760,13808,5.5%
山形,1978,60117,3.3%
福島,4612,246242,1.9%
茨城,9819,32753,30.0%
栃木,6427,265565,2.4%
群馬,7879,176036,4.5%
埼玉,44145,890336,5.0%
千葉,37417,616888,6.1%
東京,162421,2310755,7.0%
神奈川,62108,941010,6.6%
新潟,3266,147570,2.2%
富山,1900,65340,2.9%
石川,3799,97226,3.9%
福井,1050,59756,1.8%
山梨,1568,43111,3.6%
長野,4841,182225,2.7%
岐阜,9007,243405,3.7%
静岡,8511,356876,2.4%
愛知,47824,723867,6.6%
三重,4985,123611,4.0%
滋賀,5206,132109,3.9%
京都,15963,258064,6.2%
大阪,100357,1857360,5.4%
兵庫,39919,464384,8.6%
奈良,7953,154164,5.2%
和歌山,2633,40589,6.5%
鳥取,466,73958,0.6%
島根,543,27832,2.0%
岡山,7428,138031,5.4%
広島,10815,501470,2.2%
山口,2968,108624,2.7%
徳島,1632,59289,2.8%
香川,2025,78492,2.6%
愛媛,2722,87446,3.1%
高知,1539,10081,15.3%
福岡,34401,758978,4.5%
佐賀,2519,51077,4.9%
長崎,2934,113304,2.6%
熊本,6298,79169,8.0%
大分,3420,149222,2.3%
宮崎,3042,43321,7.0%
鹿児島,3409,102894,3.3%
沖縄,17808,223114,8.0%
長崎船,149,0,-
合計,752080,14072535,5.3%
