都道府県名,陽性者数,検査人数,%
北海道,914,7054,13.0%
青森,26,643,4.0%
岩手,0,384,0.0%
宮城,88,1910,4.6%
秋田,16,852,1.9%
山形,69,2246,3.1%
福島,79,2094,3.8%
茨城,168,4835,3.5%
栃木,54,2015,2.7%
群馬,147146,2596,5.6%
埼玉,909,9324,9.7%
千葉,837,6374,12.4%
東京,4765,12841,37.1%
神奈川,1132,6002,17.7%
新潟,78,3044,2.6%
富山,219,2392,9.2%
石川,271,1977,13.7%
福井,122,1771,6.9%
山梨,56,2358,2.4%
長野,73,1818,4.0%
岐阜,150,2404,6.2%
静岡,73,2780,2.6%
愛知,498,7846,6.3%
三重,45,1938,2.3%
滋賀,98,1314,7.5%
京都,341,4343,7.9%
大阪,1704,12492,12.6%
兵庫,676,8358,8.1%
奈良,88,1605,5.5%
和歌山,62,3077,2.0%
鳥取,3,1124,0.3%
島根,24,830,2.9%
岡山,23,1131,2.0%
広島,162,5433,3.0%
山口,37,1290,2.9%
徳島,5,469,1.1%
香川,28,1739,1.6%
愛媛,48,1116,4.3%
高知,74,1520,4.9%
福岡,651,9400,6.9%
佐賀,45,1077,4.2%
長崎,17,2050,0.8%
熊本,47,3178,1.5%
大分,60,3175,1.9%
宮崎,17,1122,1.5%
鹿児島,10,1287,0.8%
沖縄,142,2312,6.1%
長崎船,149,623,23.9%
合計,15300,157563,9.6%
