都道府県名,陽性者数,検査人数,備考
北海道,172,1976,
青森県,6,124,
岩手県,0,50,
宮城県,2,187,
秋田県,4,211,
山形県,0,170,
福島県,2,182,
茨城県,13,770,
栃木県,11,377,
群馬県,15,240,
埼玉県,78,1104,
千葉県,126,207,
東京都,368,2269,
神奈川県,104,276,
新潟県,31,977,
富山県,0,71,
石川県,9,205,
福井県,12,144,
山梨県,4,426,
長野県,6,397,
岐阜県,16,420,
静岡県,4,660,
愛知県,164,2276,
三重県,9,408,
滋賀県,6,197,
京都府,37,1035,
大阪府,192,532,
兵庫県,125,2142,
奈良県,11,263,
和歌山県,17,1431,
鳥取県,0,146,
島根県,0,121,
岡山県,3,251,
広島県,4,812,
山口県,6,270,
徳島県,1,110,
香川県,1,197,
愛媛県,4,234,
高知県,13,342,
福岡県,21,844,
佐賀県,1,129,
長崎県,2,292,
熊本県,10,674,
大分県,27,1489,
宮崎県,3,241,
鹿児島県,1,219,
沖縄県,6,303,
合計,1647,26401,
