都道府県名,陽性者数 検査人数,,%
北海道,1276,21946,5.8%
⻘森,27,1002,2.7%
岩手,0,1005,0.0%
宮城,98,3995,2.5%
秋田,16,999,1.6%
山形,70,2573,2.7%
福島,82,7227,1.1%
茨城,183,5417,3.4%
栃木,87,7948,1.1%
群馬,155,5288,2.9%
埼玉,1239,37659,3.3%
千葉,1010,19089,5.3%
東京,6765,91377,7.4%
神奈川,1585,12898,12.3%
新潟,84,5054,1.7%
富山,228,4009,5.7%
石川,300,2932,10.2%
福井,122,3526,3.5%
山梨,75,5815,1.3%
⻑野,77,3367,2.3%
岐阜,160,5421,3.0%
静岡,86,7829,1.1%
愛知,525,13199,4.0%
三重,46,2951,1.6%
滋賀,103,2527,4.1%
京都,386,10600,3.6%
大阪,1885,43039,4.4%
兵庫,710,15461,4.6%
奈良,95,3943,2.4%
和歌山,64,4066,1.6%
鳥取,4,1753,0.2%
島根,24,1257,1.9%
岡山,28,1983,1.4%
広島,169,7907,2.1%
山口,37,2450,1.5%
徳島,6,955,0.6%
香川,28,2822,1.0%
愛媛,82,2629,3.1%
高知,74,1996,3.7%
福岡,868,16998,5.1%
佐賀,47,1666,2.8%
⻑崎,17,3366,0.5%
熊本,49,4325,1.1%
大分,60,5041,1.2%
宮崎,17,1589,1.1%
鹿児島,85,2784,3.1%
沖縄,142,3037,4.7%
⻑崎船,149,-,-
合計,19425,414720,4.7%
