都道府県名,PCR検査陽性者,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1276,21946,87,6,1088,101
⻘森,27,1002,0,0,26,1
岩手,0,1005,0,0,0,0
宮城,98,3995,7,0,90,1
秋田,16,999,0,0,16,0
山形,70,2573,1,1,68,0
福島,82,7227,1,0,81,0
茨城,183,5417,13,0,160,10
栃木,87,7948,18,0,86,0
群馬,155,5288,3,0,133,19
埼玉,1239,37659,190,3,984,65
千葉,1010,19089,72,1,893,45
東京,6765,91377,798,9,5642,325
神奈川,1585,12898,107,7,1382,96
新潟,84,5054,0,0,83,0
富山,228,4009,1,0,205,22
石川,300,2932,12,1,261,27
福井,122,3526,0,0,114,8
⼭梨,75,5815,2,0,72,1
⻑野,77,3367,1,0,76,-
岐阜,160,5421,6,1,147,7
静岡,86,7829,6,0,79,1
愛知,525,13199,5,0,480,34
三重,46,2951,0,0,45,1
滋賀,103,2527,3,0,99,1
京都,386,10600,21,0,347,18
大阪,1885,43039,76,3,1723,86
兵庫,710,15461,9,0,656,45
奈良,95,3943,3,0,90,2
和歌山,64,4066,0,0,61,3
鳥取,4,1753,1,0,3,0
島根,24,1257,0,0,24,0
岡山,28,1983,2,-,26,-
広島,169,7907,1,0,165,3
山口,37,2450,0,0,37,0
徳島,6,955,1,0,4,1
香川,28,2822,0,0,28,0
愛媛,82,2629,0,0,77,5
高知,74,1996,0,0,71,3
福岡,868,16998,28,2,807,33
佐賀,47,1666,0,0,47,0
⻑崎,17,3366,0,0,16,1
熊本,49,4325,0,0,46,3
大分,60,5041,0,0,59,1
宮崎,17,1589,0,0,17,0
⿅児島,85,2784,74,0,11,0
沖縄,142,3037,0,0,139,7
(その他),149,-,1,-,148,-
合計,19425,414720,1550,34,16912,976
