都道府県名,陽性者数 検査人数,,%
北海道,1216,19905,6.1%
青森,27,965,2.8%
岩手,0,918,0.0%
宮城,91,3623,2.5%
秋田,16,990,1.6%
山形,69,2526,2.7%
福島,82,6507,1.3%
茨城,172,5235,3.3%
栃木,66,6699,1.0%
群馬,152,4821,3.2%
埼玉,1090,33065,3.3%
千葉,941,17723,5.3%
東京,5997,75566,7.9%
神奈川,1451,12347,11.8%
新潟,84,4860,1.7%
富山,227,3896,5.8%
石川,300,2884,10.4%
福井,122,3339,3.7%
山梨,72,5495,1.3%
長野,77,3210,2.4%
岐阜,156,5051,3.1%
静岡,80,7324,1.1%
愛知,523,12445,4.2%
三重,46,2823,1.6%
滋賀,101,2310,4.4%
京都,366,9896,3.7%
大阪,1812,39103,4.6%
兵庫,704,14483,4.9%
奈良,92,3760,2.4%
和歌山,64,3955,1.6%
鳥取,3,1466,0.2%
島根,24,1232,1.9%
岡山,26,1900,1.4%
広島,168,7744,2.2%
山口,37,2202,1.7%
徳島,6,858,0.7%
香川,28,2593,1.1%
愛媛,82,2586,3.2%
高知,74,1953,3.8%
福岡,844,15995,5.3%
佐賀,47,1609,2.9%
長崎,17,3177,0.5%
熊本,49,4234,1.2%
大分,60,4772,1.3%
宮崎,17,1549,1.1%
鹿児島,11,2534,0.4%
沖縄,142,3012,4.7%
長崎船,149,-,-
合計,17980,375140,4.8%
